timestamp,acc_x,acc_y,acc_z
66985,0.1571,-0.0997,-0.9563
67073,0.1571,-0.0996,-0.9567
67082,0.1571,-0.0996,-0.9567
67095,0.1571,-0.0996,-0.9567
67102,0.1571,-0.0995,-0.9567
67110,0.1571,-0.0995,-0.9568
67125,0.1571,-0.0994,-0.9568
67139,0.1571,-0.0991,-0.9569
67149,0.1571,-0.0991,-0.9569
67157,0.1571,-0.0990,-0.9570
67165,0.1571,-0.0989,-0.9570
67173,0.1571,-0.0989,-0.9572
67181,0.1571,-0.0988,-0.9572
67189,0.1572,-0.0988,-0.9573
67199,0.1572,-0.0988,-0.9573
67207,0.1572,-0.0986,-0.9574
67241,0.1573,-0.0988,-0.9578
67249,0.1573,-0.0988,-0.9578
67257,0.1573,-0.0988,-0.9579
67265,0.1573,-0.0989,-0.9580
67273,0.1573,-0.0989,-0.9580
67283,0.1573,-0.0990,-0.9581
67291,0.1573,-0.0990,-0.9581
67300,0.1573,-0.0990,-0.9583
67308,0.1573,-0.0990,-0.9583
67316,0.1573,-0.0990,-0.9583
67324,0.1573,-0.0990,-0.9583
67332,0.1573,-0.0990,-0.9584
67340,0.1573,-0.0990,-0.9584
67350,0.1573,-0.0989,-0.9584
67358,0.1573,-0.0989,-0.9584
67366,0.1573,-0.0988,-0.9584
67374,0.1572,-0.0988,-0.9584
67382,0.1572,-0.0986,-0.9584
67390,0.1572,-0.0985,-0.9584
67400,0.1572,-0.0984,-0.9584
67408,0.1571,-0.0984,-0.9584
67441,0.1571,-0.0981,-0.9584
67451,0.1571,-0.0981,-0.9584
67459,0.1572,-0.0980,-0.9583
67467,0.1572,-0.0980,-0.9583
67475,0.1573,-0.0980,-0.9581
67485,0.1575,-0.0980,-0.9580
67493,0.1576,-0.0980,-0.9580
67508,0.1580,-0.0981,-0.9578
67515,0.1581,-0.0983,-0.9576
67523,0.1583,-0.0983,-0.9576
67531,0.1583,-0.0984,-0.9575
67539,0.1584,-0.0985,-0.9575
67549,0.1584,-0.0985,-0.9575
67557,0.1583,-0.0986,-0.9575
67565,0.1583,-0.0988,-0.9575
67573,0.1582,-0.0989,-0.9575
67581,0.1581,-0.0989,-0.9575
67589,0.1578,-0.0989,-0.9576
67597,0.1577,-0.0990,-0.9576
67608,0.1575,-0.0989,-0.9576
67653,0.1565,-0.0980,-0.9580
67661,0.1564,-0.0979,-0.9581
67669,0.1562,-0.0978,-0.9581
67683,0.1562,-0.0975,-0.9583
67691,0.1561,-0.0974,-0.9583
67699,0.1561,-0.0973,-0.9584
67707,0.1561,-0.0972,-0.9584
67715,0.1561,-0.0970,-0.9584
67723,0.1561,-0.0969,-0.9585
67731,0.1560,-0.0967,-0.9585
67741,0.1559,-0.0966,-0.9586
67749,0.1558,-0.0962,-0.9586
