Session Information:

BoatCode:,010
Start Time:,2026-03-04 16:05:44.364


Per-Stroke Data:

BoatCode,StrokeLength(m),TotalDistance(m),ElapsedTime,Pace(/500m),Speed(m/s),StrokeRate(spm),StrokeCount,Lat,Lon,Timestamp
010,0.00,0.00,0.002,--,0.00,0.0,1,0.0000000,0.0000000,2026-03-04 16:05:52.750
010,0.00,0.00,2.960,--,0.00,20.3,2,0.0000000,0.0000000,2026-03-04 16:05:55.708
010,0.00,0.00,4.486,--,0.00,39.3,3,0.0000000,0.0000000,2026-03-04 16:05:57.234
010,0.00,0.00,5.450,--,0.00,62.2,4,0.0000000,0.0000000,2026-03-04 16:05:58.198
010,0.00,0.00,6.742,--,0.00,46.4,5,0.0000000,0.0000000,2026-03-04 16:05:59.490
010,0.00,0.00,9.212,--,0.00,24.3,6,0.0000000,0.0000000,2026-03-04 16:06:01.960
010,0.00,0.00,9.684,--,0.00,127.1,7,0.0000000,0.0000000,2026-03-04 16:06:02.432
010,0.00,0.00,12.871,--,0.00,18.8,8,0.0000000,0.0000000,2026-03-04 16:06:05.619
010,0.00,0.00,14.498,--,0.00,36.9,9,0.0000000,0.0000000,2026-03-04 16:06:07.246
010,0.00,0.00,16.832,--,0.00,25.7,10,0.0000000,0.0000000,2026-03-04 16:06:09.580
010,0.00,0.00,18.288,--,0.00,41.2,11,0.0000000,0.0000000,2026-03-04 16:06:11.036
010,0.00,0.00,19.805,--,0.00,39.6,12,0.0000000,0.0000000,2026-03-04 16:06:12.553
010,0.00,0.00,22.246,--,0.00,24.6,13,0.0000000,0.0000000,2026-03-04 16:06:14.994
010,0.00,0.00,22.742,--,0.00,121.0,14,0.0000000,0.0000000,2026-03-04 16:06:15.490
010,0.00,0.00,25.718,--,0.00,20.2,15,0.0000000,0.0000000,2026-03-04 16:06:18.466
010,0.00,0.00,27.162,--,0.00,41.6,16,0.0000000,0.0000000,2026-03-04 16:06:19.910
010,0.00,0.00,28.640,--,0.00,40.6,17,0.0000000,0.0000000,2026-03-04 16:06:21.388
010,0.00,0.00,30.018,--,0.00,43.5,18,0.0000000,0.0000000,2026-03-04 16:06:22.766
010,0.00,0.00,31.445,--,0.00,42.0,19,0.0000000,0.0000000,2026-03-04 16:06:24.193
010,0.00,0.00,32.939,--,0.00,40.2,20,0.0000000,0.0000000,2026-03-04 16:06:25.687
010,0.00,0.00,35.935,--,0.00,20.0,21,0.0000000,0.0000000,2026-03-04 16:06:28.683
010,0.00,0.00,37.375,--,0.00,41.7,22,0.0000000,0.0000000,2026-03-04 16:06:30.123
010,0.00,0.00,38.807,--,0.00,41.9,23,0.0000000,0.0000000,2026-03-04 16:06:31.555
010,0.00,0.00,41.713,--,0.00,20.6,24,0.0000000,0.0000000,2026-03-04 16:06:34.461
010,0.00,0.00,43.153,--,0.00,41.7,25,0.0000000,0.0000000,2026-03-04 16:06:35.901
010,0.00,0.00,44.467,--,0.00,45.7,26,0.0000000,0.0000000,2026-03-04 16:06:37.215


Session Summary:

TotalDistance(m),TotalElapsedTime,AvgPace(/500m),AvgSpeed(m/s),AvgStrokeRate(spm),TotalStrokes,AvgStrokeLength(m),StartLat,StartLon,EndLat,EndLon
0.00,00:00:46.6,--,0.00,37.3,26,0.00,0.0000000,0.0000000,0.0000000,0.0000000
