timestamp,acc_x,acc_y,acc_z
875566,-0.2532,-0.6525,-0.7007
875638,-0.2534,-0.6521,-0.7014
875648,-0.2534,-0.6521,-0.7014
875663,-0.2535,-0.6521,-0.7017
875679,-0.2535,-0.6522,-0.7018
875694,-0.2534,-0.6523,-0.7019
875712,-0.2533,-0.6523,-0.7020
875728,-0.2532,-0.6525,-0.7021
875744,-0.2531,-0.6525,-0.7023
875760,-0.2531,-0.6525,-0.7023
875799,-0.2529,-0.6522,-0.7021
875814,-0.2529,-0.6521,-0.7021
875830,-0.2529,-0.6520,-0.7020
875840,-0.2529,-0.6520,-0.7020
875855,-0.2531,-0.6519,-0.7020
875869,-0.2531,-0.6519,-0.7020
875896,-0.2529,-0.6517,-0.7020
875906,-0.2531,-0.6516,-0.7020
875922,-0.2531,-0.6516,-0.7021
875938,-0.2532,-0.6515,-0.7021
875953,-0.2533,-0.6515,-0.7023
875971,-0.2534,-0.6515,-0.7024
875981,-0.2534,-0.6515,-0.7024
875997,-0.2535,-0.6514,-0.7025
876013,-0.2535,-0.6512,-0.7025
876029,-0.2537,-0.6512,-0.7025
876065,-0.2538,-0.6515,-0.7021
876081,-0.2537,-0.6516,-0.7019
876097,-0.2534,-0.6517,-0.7015
876107,-0.2534,-0.6517,-0.7014
876123,-0.2532,-0.6519,-0.7010
876141,-0.2529,-0.6519,-0.7008
876157,-0.2528,-0.6519,-0.7008
876175,-0.2526,-0.6519,-0.7008
876211,-0.2522,-0.6526,-0.7012
876227,-0.2520,-0.6534,-0.7013
876256,-0.2517,-0.6567,-0.7020
876272,-0.2515,-0.6580,-0.7023
876288,-0.2513,-0.6608,-0.7025
876298,-0.2512,-0.6643,-0.7026
876314,-0.2511,-0.6687,-0.7019
876329,-0.2510,-0.6711,-0.7012
876345,-0.2506,-0.6766,-0.6991
876363,-0.2487,-0.6852,-0.6945
876378,-0.2473,-0.6879,-0.6926
876388,-0.2430,-0.6924,-0.6895
876403,-0.2400,-0.6945,-0.6884
