sys_ms,acc_x,acc_y,acc_z
758318,-0.0260,-0.8250,0.5398
758480,-0.0216,-0.8262,0.5396
758500,-0.0211,-0.8264,0.5397
758520,-0.0205,-0.8267,0.5399
758543,-0.0204,-0.8267,0.5402
758569,-0.0203,-0.8267,0.5406
758592,-0.0203,-0.8265,0.5408
758616,-0.0206,-0.8262,0.5413
758647,-0.0209,-0.8258,0.5415
758670,-0.0215,-0.8257,0.5417
758687,-0.0219,-0.8254,0.5419
758710,-0.0223,-0.8252,0.5421
758734,-0.0233,-0.8248,0.5426
758762,-0.0237,-0.8246,0.5427
758783,-0.0245,-0.8241,0.5432
758808,-0.0249,-0.8240,0.5433
758830,-0.0255,-0.8236,0.5437
758852,-0.0256,-0.8235,0.5438
758869,-0.0258,-0.8234,0.5439
758892,-0.0258,-0.8232,0.5441
758914,-0.0255,-0.8235,0.5443
758931,-0.0253,-0.8237,0.5443
758961,-0.0247,-0.8250,0.5444
758983,-0.0242,-0.8258,0.5444
759019,-0.0233,-0.8279,0.5442
759042,-0.0228,-0.8292,0.5438
759059,-0.0222,-0.8304,0.5432
759081,-0.0206,-0.8328,0.5411
759104,-0.0195,-0.8336,0.5398
759121,-0.0181,-0.8344,0.5382
759145,-0.0144,-0.8348,0.5345
759168,-0.0121,-0.8345,0.5323
759203,-0.0067,-0.8330,0.5276
759226,-0.0007,-0.8309,0.5222
759257,0.0055,-0.8290,0.5166
759274,0.0085,-0.8282,0.5140
759293,0.0114,-0.8276,0.5115
759316,0.0140,-0.8273,0.5092
759333,0.0164,-0.8270,0.5071
759351,0.0184,-0.8269,0.5052
759373,0.0215,-0.8273,0.5024
759431,0.0231,-0.8284,0.5006
759451,0.0228,-0.8289,0.5006
759470,0.0223,-0.8292,0.5009
759491,0.0203,-0.8300,0.5020
759513,0.0189,-0.8302,0.5028
759530,0.0172,-0.8303,0.5038
759563,0.0135,-0.8298,0.5060
759581,0.0116,-0.8293,0.5072
759608,0.0073,-0.8274,0.5098
759631,0.0052,-0.8259,0.5111
759655,0.0012,-0.8221,0.5142
759678,-0.0005,-0.8198,0.5159
759700,-0.0022,-0.8170,0.5178
759717,-0.0035,-0.8140,0.5200
759739,-0.0052,-0.8065,0.5258
759762,-0.0054,-0.8024,0.5295
759799,-0.0039,-0.7932,0.5392
759820,0.0005,-0.7838,0.5524
759845,0.0040,-0.7792,0.5604
759868,0.0135,-0.7705,0.5793
759891,0.0197,-0.7666,0.5902
759915,0.0342,-0.7596,0.6144
759937,0.0424,-0.7565,0.6272
759960,0.0510,-0.7534,0.6403
759977,0.0598,-0.7506,0.6533
759994,0.0685,-0.7477,0.6663
760016,0.0853,-0.7419,0.6912
760051,0.1000,-0.7357,0.7140
760074,0.1064,-0.7323,0.7246
760098,0.1168,-0.7245,0.7438
760121,0.1210,-0.7201,0.7523
760143,0.1241,-0.7153,0.7601
760180,0.1296,-0.7007,0.7788
760197,0.1301,-0.6962,0.7834
760240,0.1290,-0.6897,0.7902
760263,0.1249,-0.6879,0.7931
760288,0.1215,-0.6893,0.7932
760309,0.1171,-0.6925,0.7921
760330,0.1050,-0.7045,0.7865
760355,0.0970,-0.7134,0.7815
760377,0.0773,-0.7371,0.7665
760395,0.0652,-0.7518,0.7561
760454,0.0214,-0.8064,0.7130
760472,0.0048,-0.8273,0.6948
760494,-0.0299,-0.8712,0.6534
760516,-0.0474,-0.8937,0.6306
760536,-0.0647,-0.9161,0.6064
760555,-0.0817,-0.9380,0.5813
760577,-0.1136,-0.9788,0.5288
760602,-0.1283,-0.9968,0.5020
760629,-0.1536,-1.0265,0.4481
760652,-0.1639,-1.0375,0.4214
760676,-0.1792,-1.0504,0.3696
760699,-0.1841,-1.0520,0.3451
760721,-0.1869,-1.0503,0.3215
760738,-0.1874,-1.0374,0.2792
760760,-0.1852,-1.0266,0.2609
760791,-0.1768,-0.9985,0.2316
760810,-0.1711,-0.9821,0.2213
760830,-0.1648,-0.9647,0.2141
760852,-0.1580,-0.9468,0.2102
760878,-0.1440,-0.9114,0.2119
760901,-0.1375,-0.8944,0.2170
760925,-0.1254,-0.8634,0.2345
760948,-0.1201,-0.8496,0.2460
760970,-0.1115,-0.8270,0.2720
760987,-0.1080,-0.8185,0.2855
761012,-0.1049,-0.8121,0.2992
761034,-0.1017,-0.8080,0.3127
761069,-0.0896,-0.8079,0.3518
761093,-0.0840,-0.8116,0.3641
761118,-0.0701,-0.8237,0.3878
761140,-0.0621,-0.8317,0.3992
761163,-0.0536,-0.8407,0.4103
761180,-0.0447,-0.8505,0.4211
761202,-0.0264,-0.8706,0.4420
761219,-0.0171,-0.8802,0.4517
761261,0.0009,-0.8977,0.4685
761284,0.0173,-0.9109,0.4803
761309,0.0250,-0.9158,0.4840
761330,0.0322,-0.9194,0.4861
761351,0.0455,-0.9227,0.4863
761376,0.0516,-0.9226,0.4847
761403,0.0625,-0.9192,0.4788
761421,0.0670,-0.9163,0.4747
761472,0.0757,-0.9045,0.4607
761508,0.0759,-0.8955,0.4518
761526,0.0742,-0.8909,0.4480
