Session Information:

BoatCode:,010
Start Time:,2026-03-04 16:02:40.241


Per-Stroke Data:

BoatCode,StrokeLength(m),TotalDistance(m),ElapsedTime,Pace(/500m),Speed(m/s),StrokeRate(spm),StrokeCount,Lat,Lon,Timestamp
010,0.00,0.00,0.002,--,0.00,0.0,1,0.0000000,0.0000000,2026-03-04 16:02:48.103
010,0.00,0.00,1.517,--,0.00,39.6,2,0.0000000,0.0000000,2026-03-04 16:02:49.618
010,0.00,0.00,3.019,--,0.00,39.9,3,0.0000000,0.0000000,2026-03-04 16:02:51.120
010,0.00,0.00,4.461,--,0.00,41.6,4,0.0000000,0.0000000,2026-03-04 16:02:52.562
010,0.00,0.00,5.909,--,0.00,41.4,5,0.0000000,0.0000000,2026-03-04 16:02:54.010
010,0.00,0.00,7.425,--,0.00,39.6,6,0.0000000,0.0000000,2026-03-04 16:02:55.526
010,0.00,0.00,8.909,--,0.00,40.4,7,0.0000000,0.0000000,2026-03-04 16:02:57.010
010,0.00,0.00,10.351,--,0.00,41.6,8,0.0000000,0.0000000,2026-03-04 16:02:58.452
010,0.00,0.00,13.466,--,0.00,19.3,9,0.0000000,0.0000000,2026-03-04 16:03:01.567
010,0.00,0.00,14.962,--,0.00,40.1,10,0.0000000,0.0000000,2026-03-04 16:03:03.063
010,0.00,0.00,19.587,--,0.00,13.0,11,0.0000000,0.0000000,2026-03-04 16:03:07.688


Session Summary:

TotalDistance(m),TotalElapsedTime,AvgPace(/500m),AvgSpeed(m/s),AvgStrokeRate(spm),TotalStrokes,AvgStrokeLength(m),StartLat,StartLon,EndLat,EndLon
0.00,00:00:20.4,--,0.00,35.9,11,0.00,0.0000000,0.0000000,0.0000000,0.0000000
