BoatCode,StrokeLength(m),TotalDistance(m),ElapsedTime,Pace(/500m),Speed(m/s),StrokeRate(spm),StrokeCount,Lat,Lon,Timestamp
010,0.00,0.00,0.0,--,0.00,0.0,1,0.0000000,0.0000000,2026-03-03 15:15:48.350
010,0.00,0.00,5.5,--,0.00,11.0,2,0.0000000,0.0000000,2026-03-03 15:15:53.811
010,0.00,0.00,6.0,--,0.00,108.3,3,0.0000000,0.0000000,2026-03-03 15:15:54.365
010,0.00,0.00,8.6,--,0.00,23.1,4,0.0000000,0.0000000,2026-03-03 15:15:56.961
010,0.00,0.00,9.2,--,0.00,103.6,5,0.0000000,0.0000000,2026-03-03 15:15:57.540
010,0.00,0.00,10.8,--,0.00,37.8,6,0.0000000,0.0000000,2026-03-03 15:15:59.128
010,0.00,0.00,12.3,--,0.00,39.2,7,0.0000000,0.0000000,2026-03-03 15:16:00.660
010,0.00,0.00,13.9,--,0.00,38.0,8,0.0000000,0.0000000,2026-03-03 15:16:02.240
010,0.00,0.00,16.5,--,0.00,22.8,9,0.0000000,0.0000000,2026-03-03 15:16:04.872
010,0.00,0.00,18.8,--,0.00,26.8,10,0.0000000,0.0000000,2026-03-03 15:16:07.109
010,0.00,0.00,21.4,--,0.00,22.9,11,0.0000000,0.0000000,2026-03-03 15:16:09.733
010,0.00,0.00,22.1,--,0.00,89.4,12,0.0000000,0.0000000,2026-03-03 15:16:10.404
010,0.00,0.00,24.6,--,0.00,23.2,13,0.0000000,0.0000000,2026-03-03 15:16:12.985
010,0.00,0.00,25.3,--,0.00,93.0,14,0.0000000,0.0000000,2026-03-03 15:16:13.630
010,0.00,0.00,27.0,--,0.00,35.7,15,0.0000000,0.0000000,2026-03-03 15:16:15.309
010,0.00,0.00,31.4,--,0.00,13.4,16,0.0000000,0.0000000,2026-03-03 15:16:19.774
010,0.00,0.00,33.6,--,0.00,27.1,17,0.0000000,0.0000000,2026-03-03 15:16:21.990
010,0.00,0.00,35.6,--,0.00,30.7,18,0.0000000,0.0000000,2026-03-03 15:16:23.945
010,0.00,0.00,38.3,--,0.00,22.2,19,0.0000000,0.0000000,2026-03-03 15:16:26.653
010,0.00,0.00,41.9,--,0.00,16.9,20,0.0000000,0.0000000,2026-03-03 15:16:30.200
