timestamp,acc_x,acc_y,acc_z
587484,0.1925,-0.8135,-0.4536
587617,0.2037,-0.8210,-0.4734
587627,0.2034,-0.8206,-0.4729
587643,0.2023,-0.8195,-0.4709
587659,0.2004,-0.8182,-0.4684
587675,0.1984,-0.8174,-0.4659
587693,0.1963,-0.8169,-0.4642
587703,0.1953,-0.8169,-0.4639
587719,0.1938,-0.8171,-0.4640
587735,0.1931,-0.8177,-0.4656
587751,0.1931,-0.8186,-0.4683
587778,0.1943,-0.8202,-0.4740
587812,0.1971,-0.8229,-0.4816
587822,0.1986,-0.8239,-0.4838
587836,0.1992,-0.8242,-0.4841
587851,0.2002,-0.8243,-0.4834
587866,0.2004,-0.8240,-0.4803
587884,0.1997,-0.8232,-0.4752
587900,0.1982,-0.8221,-0.4686
587910,0.1973,-0.8217,-0.4650
587926,0.1948,-0.8210,-0.4576
587942,0.1921,-0.8209,-0.4512
587969,0.1874,-0.8225,-0.4438
587985,0.1866,-0.8241,-0.4437
588001,0.1857,-0.8250,-0.4446
588019,0.1860,-0.8273,-0.4496
588033,0.1866,-0.8280,-0.4518
588041,0.1873,-0.8287,-0.4540
588057,0.1891,-0.8298,-0.4585
588073,0.1909,-0.8307,-0.4622
588083,0.1918,-0.8309,-0.4636
588117,0.1945,-0.8319,-0.4651
588127,0.1945,-0.8320,-0.4645
588161,0.1930,-0.8326,-0.4598
588177,0.1915,-0.8334,-0.4574
588193,0.1897,-0.8347,-0.4553
588211,0.1879,-0.8365,-0.4537
588227,0.1860,-0.8390,-0.4525
588243,0.1843,-0.8416,-0.4512
588259,0.1827,-0.8438,-0.4493
588277,0.1813,-0.8456,-0.4463
588293,0.1797,-0.8466,-0.4414
588309,0.1777,-0.8470,-0.4343
588325,0.1754,-0.8474,-0.4248
588335,0.1742,-0.8477,-0.4193
588362,0.1705,-0.8488,-0.3942
588378,0.1688,-0.8496,-0.3878
588394,0.1677,-0.8507,-0.3761
588427,0.1667,-0.8544,-0.3586
588437,0.1661,-0.8572,-0.3534
588452,0.1656,-0.8588,-0.3516
588468,0.1643,-0.8624,-0.3489
588484,0.1621,-0.8666,-0.3472
588502,0.1566,-0.8737,-0.3457
588512,0.1541,-0.8762,-0.3452
588528,0.1481,-0.8815,-0.3444
588539,0.1445,-0.8842,-0.3440
588555,0.1371,-0.8895,-0.3435
588563,0.1333,-0.8921,-0.3434
588607,0.1195,-0.9022,-0.3478
588616,0.1183,-0.9036,-0.3499
588637,0.1180,-0.9064,-0.3584
588653,0.1199,-0.9072,-0.3651
588669,0.1227,-0.9073,-0.3718
588685,0.1261,-0.9073,-0.3774
588695,0.1279,-0.9075,-0.3795
588722,0.1337,-0.9095,-0.3826
588740,0.1389,-0.9144,-0.3796
588785,0.1390,-0.9242,-0.3597
588800,0.1334,-0.9258,-0.3470
588815,0.1237,-0.9248,-0.3322
588825,0.1172,-0.9232,-0.3242
588840,0.1018,-0.9178,-0.3080
588854,0.0933,-0.9143,-0.2999
588869,0.0756,-0.9064,-0.2847
