timestamp,acc_x,acc_y,acc_z
79759,0.0132,-0.9457,0.2229
79966,0.0135,-0.9452,0.2227
79996,0.0135,-0.9452,0.2225
80019,0.0134,-0.9453,0.2225
80036,0.0134,-0.9453,0.2225
80058,0.0134,-0.9453,0.2225
80090,0.0134,-0.9453,0.2225
80107,0.0134,-0.9453,0.2225
80129,0.0135,-0.9454,0.2224
80152,0.0135,-0.9454,0.2224
80169,0.0135,-0.9454,0.2224
80186,0.0135,-0.9456,0.2224
80208,0.0135,-0.9456,0.2224
80242,0.0135,-0.9456,0.2223
80260,0.0135,-0.9457,0.2223
80283,0.0135,-0.9457,0.2223
80300,0.0135,-0.9457,0.2223
80322,0.0134,-0.9457,0.2222
80344,0.0134,-0.9457,0.2222
80361,0.0134,-0.9456,0.2220
80402,0.0133,-0.9451,0.2212
80439,0.0134,-0.9446,0.2202
80460,0.0135,-0.9445,0.2196
80485,0.0139,-0.9443,0.2183
80507,0.0142,-0.9445,0.2175
80530,0.0150,-0.9449,0.2159
80547,0.0154,-0.9452,0.2151
80569,0.0159,-0.9457,0.2142
80591,0.0165,-0.9460,0.2133
80608,0.0170,-0.9465,0.2123
80625,0.0176,-0.9470,0.2111
80648,0.0189,-0.9479,0.2085
80690,0.0201,-0.9487,0.2058
80721,0.0210,-0.9497,0.2030
80738,0.0212,-0.9502,0.2018
80757,0.0214,-0.9507,0.2004
80781,0.0211,-0.9515,0.1979
80805,0.0208,-0.9520,0.1965
80823,0.0204,-0.9524,0.1953
80846,0.0194,-0.9532,0.1929
80905,0.0178,-0.9541,0.1896
80928,0.0167,-0.9546,0.1876
80948,0.0162,-0.9547,0.1868
80970,0.0157,-0.9548,0.1860
80993,0.0148,-0.9548,0.1847
81026,0.0142,-0.9548,0.1838
81044,0.0138,-0.9548,0.1833
81099,0.0134,-0.9548,0.1825
81121,0.0133,-0.9547,0.1823
81138,0.0133,-0.9547,0.1821
81161,0.0135,-0.9547,0.1819
81183,0.0137,-0.9547,0.1819
81200,0.0138,-0.9547,0.1819
81223,0.0142,-0.9547,0.1820
81240,0.0143,-0.9547,0.1821
81274,0.0146,-0.9545,0.1823
81295,0.0149,-0.9545,0.1824
81326,0.0151,-0.9542,0.1826
81343,0.0153,-0.9540,0.1829
81365,0.0154,-0.9537,0.1830
81390,0.0156,-0.9529,0.1831
81405,0.0157,-0.9523,0.1831
81426,0.0159,-0.9518,0.1832
81448,0.0160,-0.9512,0.1832
81476,0.0162,-0.9503,0.1831
81498,0.0162,-0.9501,0.1831
81523,0.0162,-0.9498,0.1829
81545,0.0161,-0.9500,0.1827
81568,0.0159,-0.9504,0.1823
81585,0.0157,-0.9506,0.1819
81633,0.0150,-0.9509,0.1804
81671,0.0142,-0.9509,0.1794
81693,0.0135,-0.9509,0.1788
81718,0.0122,-0.9514,0.1776
81740,0.0115,-0.9520,0.1769
81773,0.0100,-0.9537,0.1750
81792,0.0092,-0.9550,0.1741
81813,0.0083,-0.9563,0.1730
81836,0.0067,-0.9590,0.1709
81855,0.0060,-0.9603,0.1699
81877,0.0051,-0.9615,0.1689
81900,0.0039,-0.9635,0.1672
81944,0.0029,-0.9645,0.1658
81984,0.0023,-0.9642,0.1641
82004,0.0023,-0.9639,0.1636
82026,0.0026,-0.9635,0.1632
82049,0.0037,-0.9626,0.1625
82091,0.0052,-0.9619,0.1619
82114,0.0074,-0.9617,0.1615
82131,0.0087,-0.9619,0.1614
82153,0.0099,-0.9624,0.1613
82175,0.0111,-0.9633,0.1611
82192,0.0125,-0.9642,0.1610
82215,0.0150,-0.9668,0.1610
82237,0.0162,-0.9680,0.1611
82277,0.0194,-0.9708,0.1619
82293,0.0203,-0.9711,0.1624
82333,0.0215,-0.9703,0.1636
82355,0.0219,-0.9692,0.1644
82380,0.0221,-0.9661,0.1663
82400,0.0220,-0.9640,0.1672
82420,0.0219,-0.9618,0.1683
82445,0.0211,-0.9568,0.1707
82467,0.0205,-0.9541,0.1719
82492,0.0192,-0.9487,0.1741
82526,0.0179,-0.9438,0.1759
82548,0.0172,-0.9418,0.1768
82579,0.0160,-0.9387,0.1780
82596,0.0155,-0.9379,0.1783
82618,0.0150,-0.9375,0.1785
82641,0.0143,-0.9385,0.1783
82658,0.0140,-0.9397,0.1781
82680,0.0139,-0.9413,0.1776
82697,0.0138,-0.9432,0.1770
82732,0.0140,-0.9476,0.1757
82755,0.0148,-0.9524,0.1740
82779,0.0151,-0.9546,0.1730
82801,0.0156,-0.9568,0.1720
82822,0.0164,-0.9603,0.1698
82840,0.0168,-0.9617,0.1687
82889,0.0184,-0.9641,0.1652
82943,0.0204,-0.9646,0.1615
82965,0.0211,-0.9645,0.1603
82982,0.0217,-0.9642,0.1591
83005,0.0228,-0.9633,0.1567
83027,0.0234,-0.9626,0.1556
83044,0.0238,-0.9620,0.1547
83067,0.0245,-0.9614,0.1528
83089,0.0249,-0.9615,0.1520
83111,0.0250,-0.9622,0.1512
83134,0.0253,-0.9650,0.1503
83156,0.0254,-0.9669,0.1499
83219,0.0256,-0.9750,0.1503
83236,0.0256,-0.9760,0.1508
83258,0.0254,-0.9763,0.1515
83280,0.0251,-0.9761,0.1525
83298,0.0244,-0.9738,0.1550
83315,0.0238,-0.9718,0.1566
83334,0.0232,-0.9694,0.1583
83369,0.0217,-0.9640,0.1621
83393,0.0210,-0.9611,0.1641
83415,0.0193,-0.9553,0.1677
83437,0.0184,-0.9528,0.1696
83459,0.0176,-0.9503,0.1713
83490,0.0161,-0.9464,0.1742
83507,0.0155,-0.9449,0.1755
83524,0.0149,-0.9437,0.1768
83547,0.0140,-0.9425,0.1786
83581,0.0134,-0.9425,0.1798
83603,0.0132,-0.9429,0.1803
83628,0.0131,-0.9443,0.1808
83650,0.0131,-0.9453,0.1808
83672,0.0131,-0.9464,0.1808
