010,0.00,0.00,0.0,29:45.7,0.28,0.0,1,31.9778618,120.9100584,2026-03-02 21:15:24.362
010,1.72,1.72,1.7,36:13.9,0.23,35.9,2,31.9778586,120.9100406,2026-03-02 21:15:26.033
010,2.03,3.75,7.2,27:46.7,0.30,10.9,3,31.9778562,120.9100193,2026-03-02 21:15:31.521
010,2.83,6.58,10.3,04:13.8,1.97,19.2,4,31.9778549,120.9099893,2026-03-02 21:15:34.648
010,0.59,7.17,11.1,16:20.4,0.51,75.1,5,31.9778548,120.9099830,2026-03-02 21:15:35.447
010,1.82,8.99,13.3,14:22.1,0.58,27.6,6,31.9778559,120.9099637,2026-03-02 21:15:37.620
010,3.19,12.18,17.2,08:30.2,0.98,15.1,7,31.9778648,120.9099315,2026-03-02 21:15:41.602
010,0.61,12.79,18.3,12:04.6,0.69,59.5,8,31.9778663,120.9099253,2026-03-02 21:15:42.610
010,2.03,14.82,20.5,13:53.3,0.60,27.0,9,31.9778700,120.9099042,2026-03-02 21:15:44.829
010,1.92,16.74,22.8,12:04.6,0.69,26.0,10,31.9778765,120.9098853,2026-03-02 21:15:47.138
010,2.01,18.75,25.2,11:24.9,0.73,25.1,11,31.9778801,120.9098644,2026-03-02 21:15:49.526
010,2.00,20.75,28.0,11:34.4,0.72,21.5,12,31.9778798,120.9098432,2026-03-02 21:15:52.323
010,3.40,24.15,32.6,04:57.6,1.68,12.9,13,31.9778760,120.9098074,2026-03-02 21:15:56.958
010,0.68,24.83,33.5,13:13.7,0.63,65.9,14,31.9778743,120.9098005,2026-03-02 21:15:57.868
010,2.18,27.01,35.9,12:49.2,0.65,25.5,15,31.9778728,120.9097775,2026-03-02 21:16:00.219
010,1.77,28.78,37.8,10:57.9,0.76,31.0,16,31.9778723,120.9097587,2026-03-02 21:16:02.156
010,2.31,31.09,40.5,14:37.2,0.57,22.3,17,31.9778732,120.9097342,2026-03-02 21:16:04.852
