timestamp,acc_x,acc_y,acc_z
46371,-0.0131,-0.7385,0.8152
46410,-0.0026,-0.7413,0.7646
46421,0.0002,-0.7441,0.7484
46472,0.0186,-0.7710,0.6205
46488,0.0259,-0.7819,0.5731
46506,0.0344,-0.7928,0.5271
46522,0.0438,-0.8038,0.4834
46537,0.0538,-0.8153,0.4425
46553,0.0642,-0.8271,0.4049
46571,0.0745,-0.8395,0.3710
46587,0.0842,-0.8528,0.3411
46603,0.0933,-0.8669,0.3149
46621,0.1007,-0.8820,0.2925
46670,0.1095,-0.9281,0.2419
46686,0.1078,-0.9409,0.2302
46720,0.1000,-0.9575,0.2155
46730,0.0950,-0.9603,0.2125
46746,0.0895,-0.9598,0.2128
46757,0.0865,-0.9584,0.2140
46773,0.0807,-0.9534,0.2183
46791,0.0748,-0.9460,0.2249
46807,0.0690,-0.9373,0.2332
46825,0.0631,-0.9276,0.2426
46841,0.0575,-0.9181,0.2527
46854,0.0522,-0.9093,0.2628
46892,0.0427,-0.8961,0.2860
46908,0.0387,-0.8920,0.2900
46926,0.0330,-0.8883,0.3009
46942,0.0294,-0.8868,0.3071
46957,0.0276,-0.8862,0.3098
46973,0.0240,-0.8851,0.3149
46991,0.0190,-0.8839,0.3218
47022,0.0153,-0.8834,0.3282
47032,0.0138,-0.8840,0.3323
47047,0.0133,-0.8846,0.3341
47073,0.0133,-0.8895,0.3394
47088,0.0135,-0.8912,0.3398
47104,0.0145,-0.8945,0.3397
47115,0.0160,-0.8975,0.3379
47125,0.0168,-0.8988,0.3362
47141,0.0188,-0.9010,0.3315
47157,0.0212,-0.9027,0.3253
47173,0.0242,-0.9043,0.3181
47191,0.0277,-0.9058,0.3110
47207,0.0320,-0.9072,0.3049
47223,0.0369,-0.9086,0.3004
47239,0.0421,-0.9100,0.2977
47278,0.0520,-0.9136,0.2981
47294,0.0532,-0.9147,0.3016
47325,0.0514,-0.9138,0.3123
47335,0.0485,-0.9105,0.3232
47350,0.0468,-0.9080,0.3298
47367,0.0410,-0.8972,0.3527
47383,0.0392,-0.8931,0.3608
47401,0.0339,-0.8793,0.3851
47417,0.0311,-0.8695,0.3994
47436,0.0291,-0.8590,0.4105
47447,0.0283,-0.8538,0.4144
47501,0.0240,-0.8276,0.4088
47528,0.0201,-0.8282,0.3993
47543,0.0170,-0.8311,0.3960
47559,0.0138,-0.8342,0.3967
47575,0.0109,-0.8372,0.4014
47591,0.0079,-0.8394,0.4091
47601,0.0063,-0.8403,0.4138
47636,0.0010,-0.8434,0.4374
47647,-0.0006,-0.8450,0.4523
47699,0.0045,-0.8486,0.5166
47715,0.0094,-0.8484,0.5461
47733,0.0155,-0.8477,0.5803
47749,0.0225,-0.8463,0.6194
47765,0.0302,-0.8442,0.6632
47781,0.0387,-0.8407,0.7108
47799,0.0481,-0.8350,0.7600
47815,0.0577,-0.8271,0.8077
47826,0.0663,-0.8177,0.8497
47841,0.0697,-0.8127,0.8673
47851,0.0742,-0.8025,0.8936
