timestamp,acc_x,acc_y,acc_z
48507,0.1652,-0.0963,-0.9607
48561,0.1650,-0.0961,-0.9606
48577,0.1650,-0.0961,-0.9606
48585,0.1650,-0.0961,-0.9606
48593,0.1650,-0.0961,-0.9606
48601,0.1650,-0.0961,-0.9606
48609,0.1652,-0.0961,-0.9606
48617,0.1652,-0.0961,-0.9606
48625,0.1652,-0.0961,-0.9607
48633,0.1652,-0.0961,-0.9607
48643,0.1653,-0.0961,-0.9607
48651,0.1653,-0.0962,-0.9608
48659,0.1654,-0.0962,-0.9608
48667,0.1654,-0.0962,-0.9608
48675,0.1655,-0.0963,-0.9609
48683,0.1655,-0.0963,-0.9609
48691,0.1656,-0.0964,-0.9609
48699,0.1658,-0.0966,-0.9611
48709,0.1658,-0.0966,-0.9611
48719,0.1659,-0.0967,-0.9611
48727,0.1660,-0.0967,-0.9611
48735,0.1660,-0.0968,-0.9611
48743,0.1661,-0.0968,-0.9611
48751,0.1663,-0.0968,-0.9611
48759,0.1664,-0.0968,-0.9611
48767,0.1664,-0.0969,-0.9611
48804,0.1665,-0.0969,-0.9611
48810,0.1665,-0.0969,-0.9611
48819,0.1665,-0.0969,-0.9611
48827,0.1665,-0.0969,-0.9611
48835,0.1665,-0.0969,-0.9611
48845,0.1664,-0.0970,-0.9611
48853,0.1664,-0.0970,-0.9611
48861,0.1663,-0.0970,-0.9609
48869,0.1663,-0.0970,-0.9609
48876,0.1663,-0.0970,-0.9609
48885,0.1661,-0.0970,-0.9609
48893,0.1661,-0.0970,-0.9609
48901,0.1661,-0.0970,-0.9609
48909,0.1660,-0.0970,-0.9609
48917,0.1660,-0.0970,-0.9608
48927,0.1660,-0.0970,-0.9608
48935,0.1661,-0.0970,-0.9608
48942,0.1661,-0.0970,-0.9608
48958,0.1661,-0.0969,-0.9608
48966,0.1663,-0.0969,-0.9608
49000,0.1665,-0.0969,-0.9608
49007,0.1665,-0.0969,-0.9608
49015,0.1666,-0.0969,-0.9608
49023,0.1666,-0.0969,-0.9608
49031,0.1666,-0.0969,-0.9608
49041,0.1666,-0.0969,-0.9608
49049,0.1666,-0.0969,-0.9608
49057,0.1666,-0.0969,-0.9608
49065,0.1665,-0.0969,-0.9608
49073,0.1665,-0.0969,-0.9608
49088,0.1665,-0.0970,-0.9609
49095,0.1664,-0.0970,-0.9609
49105,0.1665,-0.0972,-0.9609
49113,0.1665,-0.0972,-0.9609
49122,0.1665,-0.0973,-0.9609
49133,0.1666,-0.0974,-0.9609
49141,0.1666,-0.0975,-0.9609
49149,0.1667,-0.0975,-0.9609
49157,0.1667,-0.0977,-0.9609
49207,0.1661,-0.0980,-0.9611
49220,0.1659,-0.0978,-0.9612
49229,0.1655,-0.0974,-0.9613
49237,0.1652,-0.0968,-0.9615
49245,0.1646,-0.0958,-0.9617
49260,0.1635,-0.0935,-0.9622
49274,0.1625,-0.0911,-0.9625
49282,0.1621,-0.0901,-0.9625
49293,0.1620,-0.0894,-0.9626
49301,0.1620,-0.0891,-0.9625
49309,0.1621,-0.0891,-0.9624
49317,0.1624,-0.0895,-0.9623
49337,0.1632,-0.0908,-0.9618
49344,0.1637,-0.0918,-0.9615
49378,0.1660,-0.0966,-0.9602
49385,0.1665,-0.0977,-0.9600
49393,0.1670,-0.0986,-0.9597
49401,0.1674,-0.0995,-0.9595
49409,0.1677,-0.1001,-0.9592
49419,0.1680,-0.1006,-0.9591
49428,0.1682,-0.1011,-0.9589
49436,0.1683,-0.1011,-0.9589
49444,0.1683,-0.1010,-0.9589
49452,0.1683,-0.1010,-0.9590
49460,0.1682,-0.1007,-0.9590
49468,0.1681,-0.1003,-0.9590
49476,0.1680,-0.1000,-0.9591
49486,0.1676,-0.0990,-0.9595
49494,0.1674,-0.0984,-0.9596
49501,0.1674,-0.0984,-0.9596
49517,0.1669,-0.0972,-0.9600
49525,0.1666,-0.0967,-0.9602
49533,0.1664,-0.0961,-0.9603
49554,0.1658,-0.0947,-0.9608
49603,0.1652,-0.0931,-0.9614
