010,0.00,0.00,0.0,--,0.03,0.0,1,31.9779274,120.9098051,2026-03-02 16:51:47.137
010,2.02,2.02,5.1,10:17.3,0.81,10.6,2,31.9779178,120.9098233,2026-03-02 16:51:52.244
010,3.29,5.31,7.2,04:30.3,1.85,18.5,3,31.9779021,120.9098529,2026-03-02 16:51:54.291
010,1.92,7.23,8.5,04:06.3,2.03,26.3,4,31.9778937,120.9098707,2026-03-02 16:51:55.607
010,1.69,8.92,9.6,04:40.9,1.78,32.3,5,31.9778924,120.9098885,2026-03-02 16:51:56.695
010,1.11,10.03,10.6,06:05.0,1.37,39.4,6,31.9778926,120.9099003,2026-03-02 16:51:57.713
010,2.95,12.98,12.4,04:20.4,1.92,38.4,7,31.9778937,120.9099315,2026-03-02 16:51:59.543
010,1.77,14.75,13.7,04:13.8,1.97,41.9,8,31.9778959,120.9099501,2026-03-02 16:52:00.827
010,1.68,16.43,14.9,04:33.2,1.83,43.7,9,31.9778988,120.9099676,2026-03-02 16:52:02.033
010,0.41,16.84,15.6,08:00.8,1.04,45.4,10,31.9778995,120.9099719,2026-03-02 16:52:02.777
010,1.50,18.34,19.0,04:34.7,1.82,44.5,11,31.9779026,120.9099564,2026-03-02 16:52:06.149
010,1.80,20.14,20.2,04:19.1,1.93,37.7,12,31.9778993,120.9099377,2026-03-02 16:52:07.339
010,2.34,22.48,21.6,05:52.1,1.42,42.0,13,31.9778958,120.9099132,2026-03-02 16:52:08.764
010,1.89,24.37,22.9,04:26.0,1.88,42.3,14,31.9778928,120.9098935,2026-03-02 16:52:10.036
010,1.74,26.11,24.0,07:47.3,1.07,43.4,15,31.9778924,120.9098751,2026-03-02 16:52:11.168
010,1.15,27.26,25.6,17:43.8,0.47,46.0,16,31.9778925,120.9098629,2026-03-02 16:52:12.698
