sys_ms,acc_x,acc_y,acc_z
43439,0.3579,-0.3354,0.8795
43542,0.3582,-0.3333,0.8795
43559,0.3582,-0.3331,0.8795
43578,0.3582,-0.3329,0.8794
43612,0.3583,-0.3325,0.8794
43635,0.3583,-0.3324,0.8794
43652,0.3583,-0.3323,0.8793
43674,0.3584,-0.3320,0.8793
43707,0.3585,-0.3320,0.8792
43730,0.3585,-0.3319,0.8792
43747,0.3585,-0.3320,0.8792
43767,0.3585,-0.3322,0.8792
43789,0.3585,-0.3325,0.8792
43814,0.3586,-0.3329,0.8792
43836,0.3585,-0.3339,0.8794
43853,0.3585,-0.3345,0.8794
43901,0.3585,-0.3368,0.8796
43923,0.3584,-0.3378,0.8798
43940,0.3584,-0.3386,0.8798
43963,0.3584,-0.3396,0.8799
43985,0.3583,-0.3414,0.8800
44002,0.3583,-0.3424,0.8800
44025,0.3583,-0.3433,0.8800
44047,0.3582,-0.3441,0.8800
44100,0.3582,-0.3470,0.8801
44125,0.3582,-0.3475,0.8801
44147,0.3582,-0.3480,0.8801
44169,0.3582,-0.3486,0.8801
44192,0.3582,-0.3489,0.8801
44209,0.3582,-0.3490,0.8801
44231,0.3583,-0.3489,0.8801
44253,0.3584,-0.3486,0.8801
44289,0.3589,-0.3483,0.8799
44311,0.3594,-0.3479,0.8796
44328,0.3599,-0.3477,0.8794
44350,0.3612,-0.3470,0.8788
44373,0.3619,-0.3468,0.8785
44391,0.3627,-0.3466,0.8783
44413,0.3639,-0.3461,0.8781
44436,0.3643,-0.3458,0.8779
44459,0.3646,-0.3456,0.8779
44482,0.3650,-0.3453,0.8782
44503,0.3650,-0.3453,0.8784
44561,0.3646,-0.3452,0.8794
44586,0.3644,-0.3452,0.8798
44608,0.3641,-0.3452,0.8800
44630,0.3638,-0.3450,0.8805
44647,0.3635,-0.3447,0.8806
44682,0.3633,-0.3442,0.8810
44705,0.3632,-0.3440,0.8811
44750,0.3630,-0.3431,0.8812
44774,0.3630,-0.3428,0.8812
44794,0.3630,-0.3425,0.8811
44817,0.3632,-0.3425,0.8811
44841,0.3634,-0.3424,0.8810
44864,0.3635,-0.3424,0.8809
44881,0.3636,-0.3424,0.8809
44929,0.3641,-0.3429,0.8805
44952,0.3643,-0.3431,0.8804
44969,0.3645,-0.3434,0.8802
44989,0.3650,-0.3440,0.8799
45012,0.3652,-0.3444,0.8798
45036,0.3656,-0.3447,0.8796
45058,0.3661,-0.3455,0.8793
45075,0.3662,-0.3458,0.8792
45124,0.3666,-0.3467,0.8790
45147,0.3665,-0.3470,0.8790
45164,0.3665,-0.3473,0.8790
45186,0.3662,-0.3477,0.8792
45209,0.3661,-0.3478,0.8792
45233,0.3660,-0.3479,0.8793
45255,0.3656,-0.3480,0.8794
45291,0.3652,-0.3480,0.8795
45324,0.3649,-0.3480,0.8795
45347,0.3647,-0.3480,0.8795
45364,0.3646,-0.3480,0.8795
45386,0.3645,-0.3479,0.8794
45409,0.3645,-0.3478,0.8793
45426,0.3645,-0.3478,0.8793
45447,0.3645,-0.3477,0.8792
45467,0.3646,-0.3474,0.8790
45484,0.3646,-0.3473,0.8790
45534,0.3649,-0.3470,0.8789
45561,0.3650,-0.3469,0.8789
45588,0.3652,-0.3466,0.8789
45611,0.3654,-0.3462,0.8789
45631,0.3655,-0.3455,0.8789
45654,0.3656,-0.3451,0.8789
45676,0.3656,-0.3446,0.8789
45726,0.3658,-0.3434,0.8789
45751,0.3658,-0.3427,0.8790
45774,0.3658,-0.3424,0.8790
45796,0.3658,-0.3422,0.8792
45819,0.3658,-0.3422,0.8792
45841,0.3658,-0.3422,0.8793
45863,0.3658,-0.3423,0.8794
45880,0.3658,-0.3424,0.8795
45900,0.3657,-0.3427,0.8795
45923,0.3657,-0.3429,0.8796
45971,0.3656,-0.3439,0.8798
45994,0.3656,-0.3445,0.8798
46011,0.3655,-0.3448,0.8799
46034,0.3655,-0.3451,0.8799
46056,0.3655,-0.3455,0.8799
46073,0.3655,-0.3457,0.8798
46097,0.3655,-0.3463,0.8798
46120,0.3655,-0.3466,0.8798
46168,0.3655,-0.3472,0.8796
46199,0.3655,-0.3475,0.8796
46217,0.3655,-0.3477,0.8796
46239,0.3655,-0.3479,0.8795
46261,0.3655,-0.3480,0.8795
46279,0.3655,-0.3481,0.8795
46303,0.3655,-0.3481,0.8795
46323,0.3655,-0.3481,0.8794
46357,0.3655,-0.3480,0.8793
46380,0.3656,-0.3479,0.8793
46397,0.3656,-0.3478,0.8793
46419,0.3655,-0.3475,0.8793
46441,0.3655,-0.3474,0.8793
46464,0.3655,-0.3472,0.8794
46486,0.3655,-0.3468,0.8794
46503,0.3655,-0.3467,0.8795
46563,0.3654,-0.3461,0.8796
46588,0.3654,-0.3457,0.8798
46611,0.3652,-0.3453,0.8798
46633,0.3652,-0.3446,0.8798
46653,0.3651,-0.3442,0.8796
46676,0.3651,-0.3438,0.8796
46698,0.3651,-0.3434,0.8795
46753,0.3650,-0.3418,0.8792
46778,0.3650,-0.3416,0.8790
46805,0.3650,-0.3413,0.8789
46827,0.3650,-0.3413,0.8789
46844,0.3650,-0.3413,0.8788
46866,0.3650,-0.3416,0.8788
46889,0.3650,-0.3417,0.8788
46906,0.3650,-0.3419,0.8788
46923,0.3650,-0.3422,0.8788
46945,0.3650,-0.3425,0.8788
46992,0.3650,-0.3435,0.8789
47015,0.3650,-0.3444,0.8790
47032,0.3649,-0.3447,0.8792
47055,0.3649,-0.3452,0.8792
47077,0.3649,-0.3456,0.8793
47094,0.3647,-0.3463,0.8794
47114,0.3647,-0.3467,0.8794
47131,0.3647,-0.3469,0.8795
47179,0.3646,-0.3477,0.8796
47202,0.3645,-0.3478,0.8798
47219,0.3645,-0.3479,0.8798
47241,0.3645,-0.3480,0.8799
47263,0.3644,-0.3480,0.8799
47280,0.3644,-0.3480,0.8799
47303,0.3644,-0.3479,0.8799
47326,0.3644,-0.3477,0.8799
47366,0.3645,-0.3475,0.8799
47389,0.3645,-0.3474,0.8799
47411,0.3645,-0.3472,0.8799
47434,0.3645,-0.3470,0.8799
47454,0.3646,-0.3469,0.8799
47471,0.3646,-0.3468,0.8799
47491,0.3646,-0.3464,0.8799
47514,0.3646,-0.3463,0.8799
47573,0.3646,-0.3456,0.8798
47598,0.3646,-0.3453,0.8798
47620,0.3646,-0.3451,0.8798
47646,0.3645,-0.3445,0.8796
47669,0.3645,-0.3441,0.8796
47691,0.3645,-0.3434,0.8795
47717,0.3645,-0.3430,0.8794
47740,0.3645,-0.3425,0.8794
47763,0.3645,-0.3424,0.8794
47822,0.3645,-0.3424,0.8793
47843,0.3645,-0.3427,0.8793
47860,0.3645,-0.3429,0.8793
47882,0.3645,-0.3431,0.8793
47904,0.3645,-0.3438,0.8793
47921,0.3645,-0.3440,0.8793
47946,0.3645,-0.3444,0.8794
47968,0.3645,-0.3450,0.8794
48002,0.3645,-0.3455,0.8794
48022,0.3645,-0.3457,0.8794
