sys_ms,acc_x,acc_y,acc_z
339147,0.0039,-0.3507,0.9691
339289,-0.0059,-0.3564,0.9614
339306,-0.0071,-0.3575,0.9585
339329,-0.0082,-0.3586,0.9553
339350,-0.0092,-0.3599,0.9518
339378,-0.0099,-0.3627,0.9442
339401,-0.0099,-0.3641,0.9402
339423,-0.0092,-0.3673,0.9325
339446,-0.0088,-0.3691,0.9288
339477,-0.0085,-0.3733,0.9222
339495,-0.0088,-0.3757,0.9193
339517,-0.0093,-0.3783,0.9164
339539,-0.0109,-0.3840,0.9110
339556,-0.0118,-0.3871,0.9083
339573,-0.0131,-0.3901,0.9058
339596,-0.0142,-0.3932,0.9031
339630,-0.0159,-0.3992,0.8976
339652,-0.0165,-0.4044,0.8922
339674,-0.0160,-0.4066,0.8895
339697,-0.0149,-0.4086,0.8871
339719,-0.0110,-0.4113,0.8828
339736,-0.0081,-0.4120,0.8812
339759,-0.0044,-0.4125,0.8800
339786,0.0051,-0.4126,0.8790
339820,0.0173,-0.4125,0.8800
339843,0.0244,-0.4126,0.8812
339867,0.0404,-0.4136,0.8846
339890,0.0492,-0.4143,0.8868
339912,0.0582,-0.4150,0.8894
339929,0.0675,-0.4158,0.8922
339951,0.0857,-0.4161,0.8987
339976,0.0941,-0.4155,0.9022
340010,0.1088,-0.4121,0.9102
340033,0.1190,-0.4055,0.9188
340058,0.1224,-0.4011,0.9231
340089,0.1254,-0.3905,0.9315
340112,0.1240,-0.3785,0.9388
340129,0.1219,-0.3723,0.9419
340151,0.1193,-0.3662,0.9443
340173,0.1160,-0.3604,0.9462
340219,0.1042,-0.3456,0.9484
340244,0.0964,-0.3391,0.9473
340266,0.0928,-0.3370,0.9463
340289,0.0896,-0.3358,0.9449
340309,0.0868,-0.3353,0.9435
340331,0.0828,-0.3365,0.9403
340352,0.0815,-0.3381,0.9387
340393,0.0808,-0.3450,0.9346
340417,0.0814,-0.3478,0.9336
340451,0.0837,-0.3530,0.9323
340474,0.0853,-0.3556,0.9320
340498,0.0891,-0.3597,0.9320
340521,0.0913,-0.3615,0.9324
340543,0.0957,-0.3636,0.9336
340560,0.0979,-0.3643,0.9344
340583,0.1001,-0.3645,0.9354
340607,0.1040,-0.3643,0.9376
340641,0.1068,-0.3628,0.9398
340663,0.1077,-0.3618,0.9409
340692,0.1083,-0.3594,0.9426
340709,0.1080,-0.3580,0.9432
