sys_ms,acc_x,acc_y,acc_z
97531,-0.3665,-0.4717,0.8025
97710,-0.2832,-0.4985,0.7858
97727,-0.2725,-0.4994,0.7875
97749,-0.2615,-0.4999,0.7899
97769,-0.2505,-0.5001,0.7930
97808,-0.2177,-0.4990,0.8047
97831,-0.2069,-0.4979,0.8090
97860,-0.1859,-0.4944,0.8170
97883,-0.1758,-0.4921,0.8207
97905,-0.1562,-0.4866,0.8267
97922,-0.1471,-0.4835,0.8291
97947,-0.1382,-0.4803,0.8313
97969,-0.1218,-0.4740,0.8354
98002,-0.1071,-0.4684,0.8402
98025,-0.1003,-0.4662,0.8429
98047,-0.0939,-0.4645,0.8461
98069,-0.0822,-0.4630,0.8535
98092,-0.0768,-0.4635,0.8578
98109,-0.0718,-0.4648,0.8623
98131,-0.0671,-0.4670,0.8671
98148,-0.0629,-0.4700,0.8718
98175,-0.0554,-0.4775,0.8810
98208,-0.0491,-0.4863,0.8884
98231,-0.0461,-0.4908,0.8911
98248,-0.0402,-0.4995,0.8939
98270,-0.0371,-0.5035,0.8940
98293,-0.0337,-0.5074,0.8931
98310,-0.0302,-0.5110,0.8912
98332,-0.0221,-0.5176,0.8850
98349,-0.0176,-0.5204,0.8810
98397,-0.0026,-0.5266,0.8674
98419,0.0031,-0.5275,0.8632
98436,0.0089,-0.5276,0.8594
98474,0.0217,-0.5253,0.8529
98499,0.0360,-0.5198,0.8481
98522,0.0436,-0.5161,0.8463
98543,0.0514,-0.5121,0.8448
98601,0.0835,-0.4969,0.8430
98626,0.0917,-0.4945,0.8436
98648,0.1082,-0.4917,0.8458
98670,0.1166,-0.4915,0.8474
98694,0.1337,-0.4932,0.8507
98716,0.1423,-0.4949,0.8524
98737,0.1512,-0.4968,0.8540
98791,0.1781,-0.5035,0.8593
98823,0.1957,-0.5066,0.8647
98841,0.2039,-0.5071,0.8684
98863,0.2180,-0.5054,0.8788
98886,0.2234,-0.5028,0.8855
98903,0.2273,-0.4990,0.8933
98925,0.2292,-0.4939,0.9023
98947,0.2272,-0.4802,0.9232
98982,0.2159,-0.4620,0.9470
99005,0.2069,-0.4514,0.9592
99022,0.1959,-0.4399,0.9713
99044,0.1687,-0.4152,0.9937
99065,0.1531,-0.4023,1.0033
99089,0.1367,-0.3895,1.0112
99120,0.1025,-0.3652,1.0216
99143,0.0688,-0.3448,1.0231
99162,0.0531,-0.3365,1.0200
99185,0.0383,-0.3300,1.0145
99207,0.0132,-0.3219,0.9962
99240,-0.0045,-0.3210,0.9694
99262,-0.0100,-0.3234,0.9536
99279,-0.0132,-0.3275,0.9368
99302,-0.0139,-0.3333,0.9194
99324,-0.0081,-0.3494,0.8850
99341,-0.0013,-0.3593,0.8691
99366,0.0077,-0.3700,0.8547
99388,0.0323,-0.3936,0.8330
99428,0.0647,-0.4180,0.8230
99456,0.1023,-0.4414,0.8256
99473,0.1223,-0.4521,0.8314
99496,0.1428,-0.4622,0.8398
99518,0.1635,-0.4713,0.8507
99545,0.2040,-0.4863,0.8777
99569,0.2423,-0.4965,0.9086
99591,0.2603,-0.4996,0.9243
99642,0.3082,-0.5010,0.9667
99669,0.3344,-0.4949,0.9874
99689,0.3455,-0.4897,0.9948
99711,0.3553,-0.4832,1.0004
99735,0.3715,-0.4662,1.0062
99759,0.3778,-0.4561,1.0072
99776,0.3829,-0.4449,1.0070
99829,0.3909,-0.4077,1.0026
99854,0.3889,-0.3820,0.9983
99877,0.3854,-0.3695,0.9958
99899,0.3800,-0.3577,0.9933
99916,0.3630,-0.3362,0.9879
99938,0.3513,-0.3267,0.9854
99961,0.3373,-0.3184,0.9833
100003,0.2808,-0.3007,0.9825
100026,0.2567,-0.2975,0.9851
100043,0.2299,-0.2958,0.9894
100070,0.1681,-0.2960,1.0032
100092,0.1332,-0.2980,1.0123
100109,0.0957,-0.3008,1.0227
100131,0.0145,-0.3091,1.0459
100153,-0.0282,-0.3143,1.0582
100170,-0.0713,-0.3202,1.0709
100188,-0.1141,-0.3267,1.0837
100210,-0.1556,-0.3337,1.0967
100257,-0.2642,-0.3557,1.1373
100280,-0.3153,-0.3694,1.1663
100297,-0.3328,-0.3751,1.1809
100319,-0.3444,-0.3800,1.1954
100342,-0.3499,-0.3835,1.2095
100375,-0.3420,-0.3859,1.2352
100393,-0.3290,-0.3840,1.2467
100415,-0.2852,-0.3733,1.2675
100448,-0.2194,-0.3525,1.2853
100471,-0.1793,-0.3387,1.2931
100488,-0.1350,-0.3232,1.3002
100510,-0.0872,-0.3062,1.3064
100532,0.0170,-0.2699,1.3152
100549,0.0715,-0.2515,1.3175
100571,0.1268,-0.2334,1.3180
100594,0.2360,-0.2002,1.3135
100650,0.3843,-0.1641,1.2906
100678,0.4647,-0.1531,1.2646
100697,0.4978,-0.1522,1.2485
100719,0.5256,-0.1545,1.2306
100739,0.5479,-0.1600,1.2109
100756,0.5645,-0.1688,1.1898
100778,0.5807,-0.1951,1.1438
100795,0.5804,-0.2123,1.1193
100847,0.5493,-0.2748,1.0425
100870,0.5299,-0.2981,1.0166
100887,0.5067,-0.3219,0.9910
100909,0.4508,-0.3702,0.9414
100932,0.4189,-0.3942,0.9180
100949,0.3854,-0.4174,0.8959
100980,0.3143,-0.4607,0.8558
100998,0.2780,-0.4803,0.8384
101030,0.2063,-0.5146,0.8090
101053,0.1719,-0.5289,0.7972
101070,0.1390,-0.5415,0.7875
101090,0.0787,-0.5608,0.7737
101113,0.0518,-0.5676,0.7693
101137,0.0270,-0.5726,0.7662
101159,-0.0161,-0.5774,0.7634
101182,-0.0345,-0.5774,0.7629
101224,-0.0791,-0.5691,0.7628
101247,-0.0909,-0.5641,0.7626
101264,-0.1016,-0.5582,0.7618
101295,-0.1202,-0.5442,0.7594
101318,-0.1289,-0.5363,0.7577
101335,-0.1376,-0.5277,0.7557
101357,-0.1553,-0.5088,0.7518
101380,-0.1648,-0.4985,0.7504
101399,-0.1750,-0.4880,0.7495
101421,-0.1973,-0.4663,0.7515
101444,-0.2092,-0.4552,0.7548
101476,-0.2345,-0.4327,0.7673
101499,-0.2474,-0.4215,0.7769
101516,-0.2604,-0.4104,0.7886
101538,-0.2853,-0.3879,0.8185
101556,-0.2968,-0.3767,0.8363
101600,-0.3252,-0.3433,0.8964
101618,-0.3324,-0.3324,0.9172
101681,-0.3464,-0.3020,0.9753
101703,-0.3501,-0.2844,1.0072
101725,-0.3502,-0.2767,1.0205
101745,-0.3494,-0.2698,1.0321
