timestamp,acc_x,acc_y,acc_z
54478,0.1459,-0.0038,0.9539
54812,0.1458,-0.0039,0.9591
54852,0.1458,-0.0039,0.9592
54873,0.1458,-0.0039,0.9594
54889,0.1458,-0.0038,0.9595
54912,0.1459,-0.0038,0.9596
54934,0.1459,-0.0038,0.9597
54957,0.1459,-0.0038,0.9598
54978,0.1459,-0.0037,0.9602
54997,0.1459,-0.0037,0.9604
55014,0.1459,-0.0037,0.9607
55030,0.1459,-0.0037,0.9611
55052,0.1460,-0.0037,0.9614
55087,0.1460,-0.0037,0.9620
55109,0.1460,-0.0037,0.9625
55149,0.1460,-0.0037,0.9629
55165,0.1460,-0.0037,0.9630
55187,0.1460,-0.0037,0.9631
55204,0.1459,-0.0037,0.9631
55230,0.1459,-0.0037,0.9631
55271,0.1459,-0.0037,0.9633
55289,0.1460,-0.0037,0.9633
55311,0.1461,-0.0037,0.9633
55332,0.1462,-0.0035,0.9634
55349,0.1464,-0.0035,0.9635
55372,0.1465,-0.0033,0.9639
55393,0.1465,-0.0033,0.9640
55416,0.1465,-0.0032,0.9642
55462,0.1464,-0.0028,0.9651
55496,0.1461,-0.0024,0.9657
55517,0.1460,-0.0022,0.9661
55542,0.1458,-0.0017,0.9666
55564,0.1456,-0.0015,0.9668
55587,0.1454,-0.0010,0.9672
55604,0.1454,-0.0007,0.9672
55626,0.1453,-0.0005,0.9673
55644,0.1453,-0.0001,0.9673
55702,0.1451,0.0009,0.9673
55723,0.1451,0.0011,0.9672
55766,0.1454,0.0017,0.9672
55787,0.1454,0.0020,0.9672
55805,0.1455,0.0021,0.9672
55826,0.1456,0.0023,0.9672
55844,0.1458,0.0024,0.9673
55893,0.1460,0.0031,0.9672
55914,0.1462,0.0034,0.9672
55931,0.1464,0.0035,0.9672
55954,0.1465,0.0037,0.9672
55973,0.1466,0.0039,0.9672
55989,0.1466,0.0040,0.9672
56009,0.1467,0.0042,0.9672
56031,0.1469,0.0045,0.9670
56076,0.1470,0.0048,0.9668
56102,0.1471,0.0049,0.9664
56123,0.1471,0.0050,0.9662
56148,0.1471,0.0051,0.9655
56170,0.1471,0.0051,0.9650
56192,0.1471,0.0051,0.9645
56210,0.1470,0.0051,0.9634
56232,0.1470,0.0051,0.9629
56250,0.1469,0.0051,0.9624
56302,0.1467,0.0051,0.9614
56323,0.1467,0.0051,0.9613
56340,0.1467,0.0051,0.9612
56374,0.1467,0.0052,0.9614
56397,0.1467,0.0054,0.9618
56418,0.1467,0.0055,0.9622
56441,0.1467,0.0056,0.9630
56458,0.1466,0.0056,0.9637
56496,0.1454,0.0048,0.9661
56518,0.1442,0.0039,0.9679
56542,0.1390,0.0010,0.9734
56564,0.1349,-0.0012,0.9772
56590,0.1232,-0.0056,0.9865
56611,0.1155,-0.0073,0.9921
56633,0.1067,-0.0081,0.9980
56650,0.0967,-0.0073,1.0043
56686,0.0739,-0.0002,1.0168
56709,0.0481,0.0161,1.0277
56752,0.0225,0.0421,1.0344
56774,0.0000,0.0756,1.0347
56792,-0.0093,0.0935,1.0319
56813,-0.0170,0.1113,1.0270
56836,-0.0276,0.1434,1.0120
56853,-0.0309,0.1566,1.0026
56871,-0.0331,0.1672,0.9924
56893,-0.0344,0.1746,0.9821
