sys_ms,acc_x,acc_y,acc_z
316821,-0.0297,-0.9740,-0.0081
316844,-0.0297,-0.9740,-0.0083
358534,-0.0273,-0.9849,-0.0056
359003,-0.0171,-0.9592,0.0360
359031,-0.0171,-0.9615,0.0353
359051,-0.0171,-0.9626,0.0347
359074,-0.0170,-0.9639,0.0342
359094,-0.0170,-0.9650,0.0338
359116,-0.0168,-0.9670,0.0331
359141,-0.0168,-0.9679,0.0328
359163,-0.0168,-0.9695,0.0325
359185,-0.0168,-0.9701,0.0322
359202,-0.0170,-0.9706,0.0321
359219,-0.0171,-0.9711,0.0320
359242,-0.0171,-0.9713,0.0320
359281,-0.0176,-0.9718,0.0322
359303,-0.0177,-0.9718,0.0323
359432,-0.0179,-0.9714,0.0352
359459,-0.0179,-0.9714,0.0355
359482,-0.0181,-0.9713,0.0361
359506,-0.0179,-0.9712,0.0364
359529,-0.0179,-0.9711,0.0366
359551,-0.0179,-0.9707,0.0372
359568,-0.0179,-0.9706,0.0376
359591,-0.0179,-0.9705,0.0378
359610,-0.0179,-0.9703,0.0382
359675,-0.0178,-0.9707,0.0393
359720,-0.0178,-0.9708,0.0392
359743,-0.0178,-0.9708,0.0389
359760,-0.0179,-0.9707,0.0386
359782,-0.0179,-0.9706,0.0381
359804,-0.0182,-0.9702,0.0371
359821,-0.0182,-0.9701,0.0366
359844,-0.0183,-0.9700,0.0361
359866,-0.0183,-0.9698,0.0358
359883,-0.0184,-0.9697,0.0354
359900,-0.0184,-0.9697,0.0352
359922,-0.0184,-0.9698,0.0348
359994,-0.0184,-0.9698,0.0352
360021,-0.0183,-0.9696,0.0359
360041,-0.0182,-0.9695,0.0364
360062,-0.0182,-0.9692,0.0369
360083,-0.0181,-0.9690,0.0375
360100,-0.0179,-0.9688,0.0381
360119,-0.0178,-0.9684,0.0393
360165,-0.0177,-0.9679,0.0405
360188,-0.0176,-0.9677,0.0416
360205,-0.0176,-0.9677,0.0421
360228,-0.0175,-0.9675,0.0425
360317,-0.0173,-0.9679,0.0438
360344,-0.0172,-0.9683,0.0439
360367,-0.0172,-0.9684,0.0439
360391,-0.0171,-0.9689,0.0438
360414,-0.0171,-0.9690,0.0436
360436,-0.0170,-0.9692,0.0435
360453,-0.0170,-0.9694,0.0433
360475,-0.0167,-0.9697,0.0430
360508,-0.0166,-0.9698,0.0427
360529,-0.0165,-0.9700,0.0426
360603,-0.0161,-0.9700,0.0426
360628,-0.0159,-0.9697,0.0427
360648,-0.0159,-0.9697,0.0428
360670,-0.0157,-0.9696,0.0430
360689,-0.0157,-0.9694,0.0432
360711,-0.0156,-0.9692,0.0435
360737,-0.0156,-0.9691,0.0436
360778,-0.0156,-0.9689,0.0439
360801,-0.0156,-0.9689,0.0439
360818,-0.0157,-0.9689,0.0441
360910,-0.0159,-0.9689,0.0443
360927,-0.0159,-0.9689,0.0443
360954,-0.0159,-0.9690,0.0443
360973,-0.0159,-0.9690,0.0443
360998,-0.0159,-0.9691,0.0443
361019,-0.0159,-0.9692,0.0443
361045,-0.0160,-0.9694,0.0442
361068,-0.0160,-0.9694,0.0442
361090,-0.0160,-0.9695,0.0442
361107,-0.0160,-0.9695,0.0442
361129,-0.0160,-0.9695,0.0441
