timestamp,acc_x,acc_y,acc_z
52533,-0.0343,-0.8048,-0.5909
52645,-0.0354,-0.8046,-0.5936
52655,-0.0353,-0.8044,-0.5944
52671,-0.0349,-0.8042,-0.5955
52687,-0.0345,-0.8040,-0.5964
52703,-0.0344,-0.8038,-0.5970
52721,-0.0343,-0.8038,-0.5973
52737,-0.0342,-0.8038,-0.5972
52747,-0.0342,-0.8040,-0.5969
52763,-0.0342,-0.8041,-0.5961
52779,-0.0343,-0.8042,-0.5950
52808,-0.0344,-0.8046,-0.5924
52824,-0.0344,-0.8048,-0.5911
52840,-0.0345,-0.8049,-0.5898
52870,-0.0345,-0.8051,-0.5878
52886,-0.0345,-0.8051,-0.5874
52902,-0.0345,-0.8049,-0.5869
52912,-0.0344,-0.8047,-0.5868
52923,-0.0344,-0.8046,-0.5869
52939,-0.0343,-0.8044,-0.5875
52949,-0.0342,-0.8043,-0.5879
52965,-0.0339,-0.8042,-0.5890
52994,-0.0331,-0.8047,-0.5918
53008,-0.0328,-0.8048,-0.5925
53024,-0.0323,-0.8053,-0.5938
53034,-0.0320,-0.8055,-0.5942
53049,-0.0315,-0.8060,-0.5951
53065,-0.0311,-0.8066,-0.5956
53081,-0.0309,-0.8073,-0.5957
53097,-0.0308,-0.8080,-0.5955
53107,-0.0306,-0.8085,-0.5952
53123,-0.0303,-0.8098,-0.5941
53139,-0.0297,-0.8115,-0.5922
53177,-0.0282,-0.8171,-0.5835
53206,-0.0287,-0.8231,-0.5754
53222,-0.0289,-0.8268,-0.5729
53233,-0.0292,-0.8287,-0.5723
53251,-0.0289,-0.8320,-0.5726
53267,-0.0280,-0.8336,-0.5753
53283,-0.0264,-0.8323,-0.5802
53299,-0.0245,-0.8276,-0.5869
53317,-0.0232,-0.8199,-0.5955
53333,-0.0227,-0.8098,-0.6051
53349,-0.0242,-0.7977,-0.6155
53359,-0.0255,-0.7910,-0.6206
53375,-0.0298,-0.7765,-0.6300
53403,-0.0405,-0.7445,-0.6415
53417,-0.0431,-0.7368,-0.6418
53432,-0.0477,-0.7228,-0.6388
53450,-0.0515,-0.7120,-0.6299
53477,-0.0564,-0.7047,-0.5950
53493,-0.0575,-0.7096,-0.5709
53511,-0.0575,-0.7206,-0.5450
53525,-0.0564,-0.7372,-0.5201
53540,-0.0554,-0.7474,-0.5088
53556,-0.0527,-0.7705,-0.4897
53567,-0.0494,-0.7955,-0.4772
53613,-0.0419,-0.8517,-0.4788
53629,-0.0398,-0.8666,-0.4922
53642,-0.0381,-0.8759,-0.5115
53658,-0.0366,-0.8793,-0.5352
53674,-0.0350,-0.8774,-0.5609
53690,-0.0336,-0.8713,-0.5865
