timestamp,acc_x,acc_y,acc_z
3270728,0.0148,-0.9911,0.0221
3270851,0.0131,-0.9915,0.0223
3270861,0.0132,-0.9916,0.0229
3270876,0.0132,-0.9917,0.0233
3270892,0.0134,-0.9918,0.0239
3270908,0.0135,-0.9919,0.0247
3270925,0.0138,-0.9921,0.0251
3270943,0.0138,-0.9922,0.0256
3270958,0.0139,-0.9922,0.0258
3270974,0.0139,-0.9919,0.0256
3271012,0.0135,-0.9912,0.0248
3271028,0.0133,-0.9910,0.0242
3271065,0.0132,-0.9906,0.0229
3271075,0.0133,-0.9907,0.0225
3271091,0.0134,-0.9908,0.0223
3271106,0.0135,-0.9910,0.0223
3271122,0.0137,-0.9912,0.0226
3271140,0.0140,-0.9915,0.0234
3271150,0.0142,-0.9916,0.0238
3271166,0.0145,-0.9917,0.0245
3271182,0.0148,-0.9919,0.0253
3271198,0.0150,-0.9921,0.0259
3271225,0.0151,-0.9921,0.0262
3271244,0.0150,-0.9919,0.0258
3271260,0.0149,-0.9918,0.0250
3271270,0.0148,-0.9917,0.0244
3271286,0.0146,-0.9915,0.0233
3271302,0.0145,-0.9912,0.0222
3271318,0.0143,-0.9911,0.0214
3271327,0.0142,-0.9911,0.0209
3271337,0.0139,-0.9911,0.0203
3271369,0.0138,-0.9913,0.0195
3271379,0.0138,-0.9915,0.0192
3271395,0.0139,-0.9915,0.0188
3271422,0.0138,-0.9916,0.0183
3271438,0.0137,-0.9917,0.0182
3271452,0.0137,-0.9918,0.0181
3271470,0.0139,-0.9918,0.0181
3271486,0.0142,-0.9918,0.0181
3271500,0.0143,-0.9918,0.0182
3271516,0.0145,-0.9917,0.0183
3271534,0.0148,-0.9916,0.0187
3271550,0.0148,-0.9916,0.0188
3271566,0.0148,-0.9915,0.0189
3271584,0.0150,-0.9913,0.0193
3271618,0.0153,-0.9912,0.0197
3271634,0.0153,-0.9912,0.0198
3271677,0.0155,-0.9917,0.0205
3271687,0.0156,-0.9917,0.0205
3271703,0.0157,-0.9918,0.0206
3271719,0.0159,-0.9918,0.0205
3271735,0.0160,-0.9917,0.0203
3271750,0.0160,-0.9916,0.0200
3271760,0.0160,-0.9916,0.0198
3271776,0.0159,-0.9915,0.0194
3271787,0.0159,-0.9915,0.0192
3271803,0.0157,-0.9913,0.0187
3271856,0.0153,-0.9916,0.0182
3271872,0.0154,-0.9916,0.0181
3271882,0.0155,-0.9915,0.0181
3271898,0.0157,-0.9915,0.0178
3271914,0.0160,-0.9913,0.0177
3271930,0.0161,-0.9912,0.0176
3271948,0.0162,-0.9911,0.0175
3271981,0.0167,-0.9908,0.0176
3271992,0.0168,-0.9908,0.0177
3272061,0.0170,-0.9917,0.0198
3272078,0.0168,-0.9918,0.0201
3272094,0.0167,-0.9919,0.0201
3272110,0.0166,-0.9918,0.0199
3272126,0.0166,-0.9917,0.0193
3272136,0.0166,-0.9916,0.0190
3272152,0.0165,-0.9913,0.0183
3272168,0.0165,-0.9912,0.0178
3272184,0.0164,-0.9910,0.0176
3272194,0.0164,-0.9910,0.0176
3272221,0.0165,-0.9910,0.0179
3272237,0.0165,-0.9910,0.0184
3272251,0.0166,-0.9912,0.0190
3272284,0.0165,-0.9916,0.0205
3272294,0.0164,-0.9917,0.0208
3272310,0.0164,-0.9919,0.0212
3272326,0.0164,-0.9919,0.0216
3272342,0.0165,-0.9919,0.0216
3272360,0.0166,-0.9918,0.0214
3272376,0.0166,-0.9917,0.0210
3272392,0.0166,-0.9917,0.0205
3272402,0.0166,-0.9917,0.0203
3272418,0.0165,-0.9918,0.0199
3272444,0.0165,-0.9921,0.0197
3272459,0.0165,-0.9922,0.0197
3272475,0.0167,-0.9922,0.0198
3272492,0.0170,-0.9922,0.0198
3272507,0.0171,-0.9919,0.0194
3272523,0.0172,-0.9916,0.0189
3272539,0.0175,-0.9910,0.0182
3272557,0.0178,-0.9901,0.0173
3272592,0.0184,-0.9886,0.0165
3272610,0.0182,-0.9888,0.0173
3272636,0.0168,-0.9902,0.0194
3272645,0.0164,-0.9907,0.0203
3272661,0.0154,-0.9917,0.0217
3272677,0.0145,-0.9924,0.0231
3272688,0.0142,-0.9927,0.0236
3272704,0.0135,-0.9929,0.0242
3272720,0.0131,-0.9926,0.0242
3272736,0.0129,-0.9913,0.0236
3272754,0.0131,-0.9896,0.0227
3272769,0.0132,-0.9879,0.0228
3272785,0.0133,-0.9867,0.0247
3272801,0.0132,-0.9866,0.0286
3272812,0.0131,-0.9867,0.0310
3272856,0.0118,-0.9890,0.0488
3272896,0.0104,-0.9919,0.0582
3272906,0.0098,-0.9928,0.0610
3272921,0.0095,-0.9930,0.0621
3272937,0.0092,-0.9933,0.0634
3272953,0.0090,-0.9932,0.0635
3272970,0.0093,-0.9928,0.0631
3272986,0.0094,-0.9922,0.0624
3273002,0.0095,-0.9916,0.0616
3273013,0.0096,-0.9908,0.0610
3273028,0.0098,-0.9905,0.0608
3273067,0.0101,-0.9890,0.0608
3273076,0.0103,-0.9889,0.0608
3273092,0.0101,-0.9886,0.0608
3273106,0.0101,-0.9885,0.0607
