timestamp,acc_x,acc_y,acc_z
2870438,0.1482,-0.8004,-0.5974
2870545,0.1484,-0.7996,-0.5991
2870555,0.1482,-0.7996,-0.5983
2870571,0.1476,-0.7994,-0.5963
2870589,0.1470,-0.7994,-0.5940
2870604,0.1465,-0.7994,-0.5919
2870620,0.1461,-0.7996,-0.5900
2870636,0.1459,-0.7996,-0.5886
2870653,0.1460,-0.7996,-0.5879
2870669,0.1461,-0.7996,-0.5878
2870703,0.1467,-0.7993,-0.5898
2870719,0.1471,-0.7992,-0.5917
2870737,0.1476,-0.7991,-0.5936
2870774,0.1490,-0.7991,-0.5968
2870790,0.1499,-0.7996,-0.5967
2870806,0.1508,-0.8003,-0.5956
2870816,0.1514,-0.8009,-0.5947
2870832,0.1527,-0.8025,-0.5922
2870848,0.1544,-0.8047,-0.5885
2870858,0.1555,-0.8062,-0.5863
2870874,0.1583,-0.8094,-0.5812
2870901,0.1653,-0.8168,-0.5721
2870917,0.1726,-0.8248,-0.5657
2870933,0.1821,-0.8370,-0.5588
2870949,0.1930,-0.8535,-0.5518
2870959,0.1982,-0.8629,-0.5482
2870975,0.2075,-0.8817,-0.5406
2870991,0.2134,-0.8979,-0.5322
2871007,0.2148,-0.9087,-0.5228
2871025,0.2115,-0.9124,-0.5131
2871041,0.2040,-0.9092,-0.5037
2871079,0.1720,-0.8835,-0.4897
2871106,0.1487,-0.8680,-0.4913
2871122,0.1331,-0.8616,-0.4961
2871138,0.1183,-0.8599,-0.5023
2871156,0.1049,-0.8636,-0.5082
2871172,0.0929,-0.8722,-0.5116
2871188,0.0824,-0.8837,-0.5105
2871204,0.0728,-0.8955,-0.5032
2871222,0.0575,-0.9093,-0.4779
2871238,0.0518,-0.9119,-0.4507
2871254,0.0392,-0.9133,-0.4342
2871264,0.0251,-0.9105,-0.3960
2871280,0.0101,-0.9048,-0.3521
2871307,-0.0126,-0.8958,-0.2804
2871323,-0.0269,-0.8932,-0.2327
2871339,-0.0393,-0.8955,-0.1881
2871357,-0.0490,-0.9032,-0.1490
2871385,-0.0564,-0.9227,-0.1031
2871401,-0.0555,-0.9390,-0.0809
2871419,-0.0452,-0.9645,-0.0558
2871434,-0.0394,-0.9728,-0.0485
2871449,-0.0247,-0.9883,-0.0332
2871468,0.0044,-1.0078,-0.0052
2871519,0.0787,-1.0243,0.0831
2871535,0.1046,-1.0206,0.1227
2871556,0.1288,-1.0118,0.1666
2871573,0.1503,-0.9978,0.2145
2871581,0.1598,-0.9891,0.2395
2871596,0.1765,-0.9688,0.2914
2871614,0.1904,-0.9457,0.3447
2871629,0.2026,-0.9218,0.3983
2871644,0.2142,-0.8989,0.4513
2871660,0.2261,-0.8799,0.5023
2871696,0.2506,-0.8646,0.6132
2871735,0.2791,-0.8911,0.6642
2871751,0.2899,-0.9138,0.6656
2871769,0.3014,-0.9391,0.6440
2871785,0.3131,-0.9637,0.5950
2871801,0.3239,-0.9854,0.5162
2871817,0.3320,-1.0021,0.4084
2871835,0.3358,-1.0123,0.1998
2871851,0.3340,-1.0143,0.1212
2871867,0.3262,-1.0076,-0.0437
2871877,0.3127,-0.9935,-0.2108
2871892,0.3043,-0.9846,-0.2922
2871919,0.2617,-0.9465,-0.5820
2871935,0.2386,-0.9290,-0.6962
2871952,0.2169,-0.9121,-0.7860
2871970,0.1980,-0.8953,-0.8503
