timestamp,acc_x,acc_y,acc_z
198125,0.0474,-0.9659,0.0916
198310,0.0464,-0.9663,0.0900
198326,0.0464,-0.9664,0.0892
198351,0.0465,-0.9666,0.0881
198373,0.0465,-0.9666,0.0875
198399,0.0466,-0.9666,0.0864
198421,0.0468,-0.9667,0.0859
198454,0.0469,-0.9666,0.0848
198471,0.0469,-0.9666,0.0845
198494,0.0471,-0.9666,0.0836
198516,0.0471,-0.9666,0.0834
198533,0.0471,-0.9664,0.0831
198550,0.0471,-0.9664,0.0829
198572,0.0471,-0.9664,0.0828
198605,0.0471,-0.9663,0.0829
198628,0.0470,-0.9663,0.0833
198653,0.0470,-0.9662,0.0837
198676,0.0469,-0.9661,0.0848
198698,0.0469,-0.9659,0.0854
198715,0.0469,-0.9659,0.0861
198761,0.0471,-0.9657,0.0880
198800,0.0471,-0.9657,0.0891
198823,0.0471,-0.9657,0.0900
198845,0.0471,-0.9657,0.0902
198868,0.0471,-0.9657,0.0903
198891,0.0470,-0.9658,0.0902
198908,0.0469,-0.9659,0.0901
198930,0.0469,-0.9661,0.0900
198952,0.0468,-0.9662,0.0897
198969,0.0466,-0.9663,0.0895
198987,0.0465,-0.9666,0.0889
199009,0.0464,-0.9667,0.0885
199049,0.0464,-0.9670,0.0879
199092,0.0465,-0.9674,0.0872
199114,0.0464,-0.9675,0.0870
199136,0.0461,-0.9675,0.0868
199156,0.0460,-0.9674,0.0868
199174,0.0458,-0.9673,0.0867
199192,0.0455,-0.9672,0.0865
199214,0.0453,-0.9672,0.0863
199276,0.0439,-0.9672,0.0854
199297,0.0437,-0.9675,0.0853
199320,0.0432,-0.9685,0.0854
199342,0.0431,-0.9691,0.0856
199383,0.0432,-0.9703,0.0869
199401,0.0433,-0.9703,0.0875
199442,0.0436,-0.9698,0.0887
199465,0.0441,-0.9688,0.0900
199489,0.0443,-0.9680,0.0905
199511,0.0447,-0.9673,0.0909
199534,0.0453,-0.9658,0.0917
199551,0.0457,-0.9651,0.0919
199573,0.0460,-0.9644,0.0923
199598,0.0465,-0.9631,0.0929
199633,0.0471,-0.9623,0.0938
199655,0.0472,-0.9619,0.0942
199692,0.0476,-0.9615,0.0956
199709,0.0477,-0.9614,0.0964
199732,0.0480,-0.9614,0.0980
199754,0.0480,-0.9615,0.0989
199771,0.0480,-0.9618,0.0996
199794,0.0480,-0.9623,0.1008
199811,0.0479,-0.9625,0.1012
199843,0.0479,-0.9631,0.1018
199865,0.0477,-0.9635,0.1019
199886,0.0477,-0.9637,0.1021
199903,0.0476,-0.9641,0.1019
199926,0.0475,-0.9646,0.1017
199948,0.0475,-0.9648,0.1014
199989,0.0475,-0.9652,0.1010
200007,0.0474,-0.9655,0.1005
200039,0.0474,-0.9656,0.1000
200062,0.0474,-0.9656,0.0997
200087,0.0474,-0.9656,0.0995
200105,0.0474,-0.9655,0.0990
200137,0.0474,-0.9655,0.0988
200157,0.0474,-0.9653,0.0986
200176,0.0474,-0.9652,0.0985
200198,0.0474,-0.9651,0.0984
200255,0.0474,-0.9647,0.0983
200295,0.0474,-0.9647,0.0984
200317,0.0474,-0.9646,0.0984
200336,0.0474,-0.9646,0.0985
200358,0.0474,-0.9646,0.0986
200378,0.0474,-0.9646,0.0986
200399,0.0474,-0.9646,0.0988
200418,0.0474,-0.9646,0.0989
200440,0.0474,-0.9646,0.0989
200483,0.0474,-0.9647,0.0990
200506,0.0474,-0.9647,0.0990
200523,0.0474,-0.9648,0.0990
200541,0.0474,-0.9648,0.0990
200563,0.0474,-0.9648,0.0990
200597,0.0474,-0.9650,0.0990
200617,0.0474,-0.9650,0.0990
200639,0.0474,-0.9651,0.0989
200661,0.0474,-0.9651,0.0989
200691,0.0474,-0.9651,0.0989
200714,0.0474,-0.9651,0.0989
200738,0.0475,-0.9651,0.0989
200760,0.0475,-0.9651,0.0989
200783,0.0475,-0.9650,0.0989
200800,0.0475,-0.9650,0.0989
200817,0.0475,-0.9650,0.0989
200839,0.0475,-0.9650,0.0989
200879,0.0475,-0.9648,0.0989
200913,0.0475,-0.9647,0.0989
200930,0.0475,-0.9647,0.0989
200952,0.0475,-0.9647,0.0989
200974,0.0475,-0.9647,0.0989
200991,0.0475,-0.9647,0.0989
201014,0.0475,-0.9647,0.0990
201031,0.0475,-0.9647,0.0990
201071,0.0475,-0.9647,0.0991
201090,0.0475,-0.9647,0.0992
201115,0.0475,-0.9648,0.0994
201136,0.0475,-0.9648,0.0995
201159,0.0475,-0.9650,0.0995
201183,0.0475,-0.9650,0.0995
201219,0.0475,-0.9651,0.0994
201237,0.0475,-0.9651,0.0992
201291,0.0475,-0.9650,0.1002
201308,0.0475,-0.9648,0.1012
201330,0.0475,-0.9646,0.1027
201348,0.0475,-0.9644,0.1049
201373,0.0474,-0.9635,0.1112
201393,0.0475,-0.9629,0.1156
201415,0.0475,-0.9622,0.1206
201432,0.0475,-0.9613,0.1265
201461,0.0475,-0.9594,0.1407
201483,0.0475,-0.9583,0.1490
201517,0.0474,-0.9558,0.1681
201534,0.0472,-0.9546,0.1785
201557,0.0471,-0.9521,0.2004
201579,0.0470,-0.9509,0.2115
201596,0.0468,-0.9498,0.2224
201619,0.0465,-0.9479,0.2421
201636,0.0463,-0.9471,0.2504
201668,0.0459,-0.9462,0.2620
201690,0.0458,-0.9462,0.2648
201709,0.0455,-0.9463,0.2653
201726,0.0453,-0.9468,0.2632
201748,0.0450,-0.9475,0.2584
201771,0.0446,-0.9497,0.2410
201788,0.0443,-0.9512,0.2286
201822,0.0438,-0.9547,0.1976
201839,0.0436,-0.9567,0.1797
201865,0.0433,-0.9609,0.1407
201887,0.0432,-0.9631,0.1205
201910,0.0432,-0.9653,0.1002
201933,0.0431,-0.9696,0.0610
201955,0.0432,-0.9717,0.0427
201979,0.0432,-0.9735,0.0256
202002,0.0433,-0.9769,-0.0042
202024,0.0435,-0.9784,-0.0167
202043,0.0435,-0.9797,-0.0275
202066,0.0437,-0.9817,-0.0437
202088,0.0438,-0.9823,-0.0492
202150,0.0446,-0.9835,-0.0565
202169,0.0447,-0.9835,-0.0553
202191,0.0448,-0.9834,-0.0531
202212,0.0452,-0.9827,-0.0458
202229,0.0453,-0.9822,-0.0408
202247,0.0454,-0.9817,-0.0349
202269,0.0455,-0.9810,-0.0283
202331,0.0459,-0.9772,0.0046
202349,0.0459,-0.9761,0.0139
202371,0.0459,-0.9749,0.0234
202394,0.0459,-0.9725,0.0426
202424,0.0459,-0.9702,0.0610
202442,0.0458,-0.9691,0.0696
202459,0.0458,-0.9680,0.0776
202481,0.0458,-0.9670,0.0852
202516,0.0457,-0.9655,0.0979
202538,0.0457,-0.9647,0.1031
202563,0.0455,-0.9637,0.1110
202585,0.0455,-0.9634,0.1138
202608,0.0454,-0.9629,0.1168
202625,0.0454,-0.9628,0.1173
202643,0.0454,-0.9628,0.1172
202660,0.0454,-0.9629,0.1165
202682,0.0454,-0.9630,0.1152
202708,0.0453,-0.9634,0.1118
202744,0.0454,-0.9639,0.1074
202761,0.0454,-0.9642,0.1051
202783,0.0454,-0.9645,0.1028
202806,0.0454,-0.9651,0.0983
202823,0.0454,-0.9653,0.0962
202845,0.0454,-0.9656,0.0944
202867,0.0455,-0.9658,0.0927
202893,0.0455,-0.9661,0.0901
202914,0.0455,-0.9662,0.0892
202939,0.0455,-0.9664,0.0881
202961,0.0455,-0.9664,0.0880
202984,0.0455,-0.9664,0.0883
203001,0.0455,-0.9664,0.0886
203042,0.0455,-0.9663,0.0897
203080,0.0455,-0.9662,0.0911
203100,0.0455,-0.9661,0.0925
203124,0.0455,-0.9661,0.0933
203144,0.0455,-0.9659,0.0939
203165,0.0455,-0.9658,0.0952
203190,0.0455,-0.9658,0.0957
203210,0.0455,-0.9657,0.0962
203229,0.0454,-0.9657,0.0966
203254,0.0454,-0.9656,0.0972
203272,0.0454,-0.9656,0.0973
203294,0.0454,-0.9656,0.0974
203386,0.0454,-0.9655,0.0972
203402,0.0454,-0.9655,0.0969
203423,0.0454,-0.9655,0.0968
203444,0.0454,-0.9655,0.0963
203462,0.0454,-0.9655,0.0962
203482,0.0454,-0.9655,0.0959
203504,0.0454,-0.9655,0.0957
203546,0.0454,-0.9655,0.0953
203568,0.0454,-0.9656,0.0952
203593,0.0454,-0.9656,0.0950
203615,0.0454,-0.9656,0.0948
203646,0.0454,-0.9656,0.0948
203663,0.0454,-0.9656,0.0948
203680,0.0454,-0.9656,0.0948
203702,0.0454,-0.9656,0.0948
203735,0.0454,-0.9657,0.0948
203755,0.0454,-0.9657,0.0948
203780,0.0454,-0.9657,0.0950
203802,0.0454,-0.9657,0.0950
203825,0.0454,-0.9657,0.0951
203842,0.0454,-0.9657,0.0952
203860,0.0454,-0.9657,0.0953
203877,0.0454,-0.9657,0.0955
203899,0.0454,-0.9657,0.0956
203924,0.0454,-0.9656,0.0958
203959,0.0454,-0.9655,0.0963
203976,0.0454,-0.9655,0.0964
203998,0.0454,-0.9655,0.0967
204021,0.0453,-0.9653,0.0970
204038,0.0453,-0.9653,0.0972
204060,0.0453,-0.9653,0.0972
204083,0.0453,-0.9652,0.0972
204117,0.0453,-0.9652,0.0972
204138,0.0452,-0.9652,0.0972
204164,0.0452,-0.9651,0.0972
204183,0.0452,-0.9651,0.0973
204206,0.0452,-0.9650,0.0979
204228,0.0452,-0.9650,0.0986
204263,0.0450,-0.9647,0.1013
204281,0.0450,-0.9645,0.1035
204345,0.0450,-0.9630,0.1179
204365,0.0450,-0.9618,0.1283
204387,0.0450,-0.9611,0.1342
204409,0.0450,-0.9603,0.1404
204426,0.0450,-0.9596,0.1467
204447,0.0449,-0.9581,0.1597
204469,0.0449,-0.9574,0.1660
204511,0.0448,-0.9561,0.1781
204534,0.0448,-0.9548,0.1888
204575,0.0447,-0.9540,0.1979
204596,0.0444,-0.9534,0.2048
204618,0.0444,-0.9531,0.2074
204640,0.0443,-0.9529,0.2094
204657,0.0443,-0.9528,0.2107
204680,0.0442,-0.9526,0.2114
204697,0.0441,-0.9526,0.2109
204732,0.0439,-0.9525,0.2085
204754,0.0439,-0.9525,0.2067
204774,0.0438,-0.9526,0.2045
204791,0.0438,-0.9526,0.2020
204814,0.0438,-0.9529,0.1968
204836,0.0438,-0.9531,0.1940
204863,0.0438,-0.9539,0.1879
204885,0.0438,-0.9543,0.1846
204902,0.0438,-0.9548,0.1808
204928,0.0441,-0.9561,0.1718
204949,0.0441,-0.9568,0.1660
204974,0.0442,-0.9589,0.1521
204996,0.0443,-0.9601,0.1437
205018,0.0444,-0.9615,0.1342
205035,0.0446,-0.9631,0.1238
205058,0.0449,-0.9666,0.1007
205083,0.0450,-0.9684,0.0883
205098,0.0454,-0.9701,0.0754
205122,0.0460,-0.9735,0.0494
205142,0.0464,-0.9751,0.0366
205183,0.0471,-0.9779,0.0125
205209,0.0477,-0.9801,-0.0083
205231,0.0481,-0.9811,-0.0170
205256,0.0486,-0.9822,-0.0298
205275,0.0487,-0.9823,-0.0337
205297,0.0490,-0.9823,-0.0355
205315,0.0491,-0.9821,-0.0354
205369,0.0494,-0.9783,-0.0134
205386,0.0494,-0.9768,-0.0028
205408,0.0494,-0.9751,0.0095
205430,0.0494,-0.9733,0.0234
205446,0.0493,-0.9713,0.0387
205481,0.0491,-0.9672,0.0721
205504,0.0487,-0.9631,0.1075
205523,0.0485,-0.9612,0.1251
205545,0.0483,-0.9594,0.1422
205568,0.0480,-0.9561,0.1740
205604,0.0477,-0.9535,0.2009
205622,0.0477,-0.9524,0.2120
205646,0.0477,-0.9514,0.2217
205669,0.0479,-0.9500,0.2358
205691,0.0481,-0.9495,0.2404
205711,0.0482,-0.9491,0.2434
205732,0.0487,-0.9487,0.2450
205754,0.0490,-0.9487,0.2437
205810,0.0499,-0.9496,0.2321
205827,0.0502,-0.9502,0.2256
205850,0.0507,-0.9519,0.2094
