timestamp,acc_x,acc_y,acc_z
1037383,0.0126,-0.9889,0.0259
1037487,0.0125,-0.9888,0.0262
1037497,0.0125,-0.9888,0.0262
1037513,0.0126,-0.9888,0.0261
1037529,0.0126,-0.9886,0.0260
1037545,0.0126,-0.9886,0.0259
1037563,0.0127,-0.9885,0.0259
1037579,0.0128,-0.9885,0.0260
1037597,0.0128,-0.9886,0.0261
1037613,0.0128,-0.9886,0.0262
1037648,0.0127,-0.9889,0.0265
1037664,0.0126,-0.9890,0.0267
1037680,0.0125,-0.9890,0.0270
1037721,0.0121,-0.9890,0.0269
1037737,0.0121,-0.9889,0.0266
1037753,0.0120,-0.9889,0.0262
1037763,0.0120,-0.9888,0.0260
1037779,0.0118,-0.9888,0.0256
1037790,0.0118,-0.9888,0.0254
1037800,0.0118,-0.9888,0.0254
1037816,0.0120,-0.9888,0.0253
1037844,0.0122,-0.9890,0.0254
1037860,0.0123,-0.9891,0.0256
1037876,0.0126,-0.9893,0.0259
1037892,0.0128,-0.9893,0.0261
1037902,0.0128,-0.9893,0.0261
1037918,0.0129,-0.9893,0.0262
1037934,0.0131,-0.9891,0.0261
1037949,0.0131,-0.9890,0.0260
1037967,0.0131,-0.9888,0.0260
1037983,0.0131,-0.9886,0.0259
1038027,0.0129,-0.9883,0.0255
1038055,0.0128,-0.9884,0.0255
1038071,0.0127,-0.9885,0.0256
1038087,0.0127,-0.9886,0.0258
1038105,0.0127,-0.9888,0.0258
1038121,0.0127,-0.9889,0.0259
1038132,0.0127,-0.9889,0.0260
1038148,0.0127,-0.9889,0.0262
1038166,0.0126,-0.9890,0.0264
1038182,0.0126,-0.9889,0.0264
1038208,0.0125,-0.9889,0.0261
1038219,0.0123,-0.9888,0.0259
1038249,0.0123,-0.9885,0.0255
1038265,0.0123,-0.9884,0.0253
1038281,0.0123,-0.9884,0.0250
1038291,0.0123,-0.9885,0.0250
1038339,0.0123,-0.9889,0.0253
1038357,0.0125,-0.9889,0.0255
1038372,0.0125,-0.9889,0.0256
1038387,0.0126,-0.9889,0.0259
1038402,0.0126,-0.9890,0.0262
1038457,0.0125,-0.9890,0.0266
1038473,0.0125,-0.9890,0.0265
1038486,0.0125,-0.9890,0.0265
1038502,0.0125,-0.9890,0.0264
1038518,0.0125,-0.9890,0.0262
1038534,0.0125,-0.9889,0.0261
1038544,0.0125,-0.9889,0.0261
1038560,0.0125,-0.9888,0.0260
1038576,0.0125,-0.9888,0.0260
1038592,0.0126,-0.9886,0.0259
1038633,0.0126,-0.9885,0.0259
1038644,0.0127,-0.9884,0.0259
1038659,0.0127,-0.9883,0.0260
1038707,0.0126,-0.9883,0.0266
1038723,0.0126,-0.9884,0.0270
1038741,0.0126,-0.9885,0.0273
1038757,0.0125,-0.9886,0.0277
1038768,0.0123,-0.9889,0.0280
1038784,0.0121,-0.9890,0.0278
1038802,0.0118,-0.9893,0.0275
1038818,0.0115,-0.9894,0.0269
1038834,0.0111,-0.9896,0.0262
1038844,0.0110,-0.9897,0.0260
1038860,0.0109,-0.9899,0.0258
1038888,0.0109,-0.9901,0.0259
1038901,0.0110,-0.9902,0.0260
1038927,0.0112,-0.9902,0.0265
1038937,0.0112,-0.9902,0.0266
1038952,0.0114,-0.9901,0.0266
1038967,0.0112,-0.9899,0.0262
1038984,0.0112,-0.9894,0.0256
1039000,0.0111,-0.9888,0.0249
1039017,0.0111,-0.9883,0.0244
1039033,0.0111,-0.9879,0.0242
1039044,0.0112,-0.9877,0.0240
1039054,0.0114,-0.9874,0.0239
1039082,0.0118,-0.9875,0.0240
1039098,0.0122,-0.9877,0.0239
1039114,0.0127,-0.9878,0.0236
1039132,0.0131,-0.9878,0.0229
1039148,0.0133,-0.9875,0.0217
1039164,0.0135,-0.9866,0.0201
1039180,0.0135,-0.9850,0.0183
1039198,0.0134,-0.9835,0.0170
1039246,0.0123,-0.9843,0.0190
1039256,0.0122,-0.9852,0.0204
1039284,0.0116,-0.9900,0.0281
1039299,0.0115,-0.9911,0.0302
1039315,0.0115,-0.9928,0.0342
1039333,0.0116,-0.9941,0.0393
1039348,0.0117,-0.9941,0.0406
1039359,0.0118,-0.9939,0.0428
1039375,0.0120,-0.9930,0.0442
1039391,0.0121,-0.9919,0.0448
1039406,0.0122,-0.9913,0.0448
1039421,0.0122,-0.9900,0.0447
1039437,0.0123,-0.9886,0.0439
1039453,0.0125,-0.9875,0.0431
1039500,0.0125,-0.9860,0.0400
1039539,0.0125,-0.9862,0.0386
1039549,0.0125,-0.9865,0.0385
1039565,0.0125,-0.9868,0.0383
1039581,0.0125,-0.9872,0.0385
1039597,0.0125,-0.9877,0.0387
1039617,0.0123,-0.9880,0.0391
1039633,0.0123,-0.9883,0.0394
1039649,0.0122,-0.9885,0.0398
1039660,0.0122,-0.9885,0.0402
1039671,0.0121,-0.9886,0.0404
1039711,0.0121,-0.9886,0.0410
1039727,0.0122,-0.9885,0.0411
1039745,0.0122,-0.9884,0.0411
1039761,0.0122,-0.9884,0.0411
1039777,0.0123,-0.9883,0.0410
1039793,0.0123,-0.9882,0.0410
1039811,0.0125,-0.9880,0.0409
1039842,0.0126,-0.9880,0.0406
1039858,0.0126,-0.9880,0.0405
1039896,0.0126,-0.9880,0.0405
1039909,0.0125,-0.9880,0.0404
1039925,0.0125,-0.9880,0.0404
1039941,0.0123,-0.9880,0.0405
1039957,0.0123,-0.9882,0.0406
1039970,0.0123,-0.9882,0.0406
1039986,0.0123,-0.9882,0.0408
1040003,0.0122,-0.9880,0.0409
1040018,0.0122,-0.9880,0.0409
1040035,0.0121,-0.9880,0.0410
1040047,0.0121,-0.9879,0.0411
1040065,0.0120,-0.9879,0.0411
1040083,0.0120,-0.9878,0.0413
1040099,0.0120,-0.9878,0.0413
1040115,0.0120,-0.9878,0.0414
1040149,0.0120,-0.9878,0.0415
1040177,0.0120,-0.9879,0.0416
1040193,0.0121,-0.9879,0.0416
1040219,0.0121,-0.9879,0.0417
1040232,0.0122,-0.9880,0.0417
1040248,0.0122,-0.9880,0.0417
1040264,0.0122,-0.9880,0.0417
1040280,0.0122,-0.9880,0.0417
1040310,0.0122,-0.9880,0.0417
1040326,0.0122,-0.9880,0.0417
1040342,0.0122,-0.9879,0.0417
1040352,0.0122,-0.9879,0.0417
1040363,0.0122,-0.9879,0.0417
1040379,0.0122,-0.9879,0.0417
1040395,0.0122,-0.9879,0.0417
1040413,0.0122,-0.9880,0.0417
1040426,0.0122,-0.9880,0.0417
1040457,0.0122,-0.9882,0.0419
1040476,0.0122,-0.9882,0.0419
1040495,0.0122,-0.9882,0.0420
1040511,0.0123,-0.9882,0.0420
1040527,0.0123,-0.9882,0.0421
1040572,0.0125,-0.9880,0.0422
1040588,0.0125,-0.9880,0.0422
1040598,0.0125,-0.9880,0.0422
1040614,0.0126,-0.9880,0.0422
1040630,0.0126,-0.9880,0.0422
1040646,0.0126,-0.9880,0.0422
1040667,0.0126,-0.9880,0.0422
1040678,0.0126,-0.9879,0.0422
1040695,0.0126,-0.9879,0.0422
1040711,0.0126,-0.9879,0.0422
1040759,0.0125,-0.9879,0.0422
1040790,0.0125,-0.9878,0.0422
1040800,0.0125,-0.9878,0.0422
1040816,0.0125,-0.9878,0.0422
1040832,0.0123,-0.9878,0.0422
1040848,0.0123,-0.9878,0.0421
1040866,0.0123,-0.9878,0.0421
