010,0.00,0.00,0.0,--,0.00,0.0,1,0.0000000,0.0000000,2026-03-02 20:54:12.140
010,0.00,0.00,2.7,--,0.00,22.1,2,0.0000000,0.0000000,2026-03-02 20:54:14.853
010,0.00,0.00,4.5,--,0.00,34.1,3,0.0000000,0.0000000,2026-03-02 20:54:16.615
010,0.00,0.00,6.9,--,0.00,24.6,4,0.0000000,0.0000000,2026-03-02 20:54:19.055
010,0.00,0.00,9.9,--,0.00,20.4,5,0.0000000,0.0000000,2026-03-02 20:54:21.990
010,0.00,0.00,10.5,--,0.00,99.7,6,0.0000000,0.0000000,2026-03-02 20:54:22.592
010,0.00,0.00,12.5,--,0.00,29.7,7,0.0000000,0.0000000,2026-03-02 20:54:24.610
010,0.00,0.00,15.1,--,0.00,22.8,8,0.0000000,0.0000000,2026-03-02 20:54:27.240
010,0.00,0.00,17.3,--,0.00,26.9,9,0.0000000,0.0000000,2026-03-02 20:54:29.470
010,0.00,0.00,19.5,--,0.00,27.3,10,0.0000000,0.0000000,2026-03-02 20:54:31.668
