timestamp,acc_x,acc_y,acc_z
87042,0.2443,-0.0206,0.9849
87148,0.2439,-0.0214,0.9854
87165,0.2439,-0.0214,0.9854
87187,0.2438,-0.0214,0.9856
87210,0.2437,-0.0214,0.9856
87231,0.2437,-0.0215,0.9857
87255,0.2435,-0.0215,0.9858
87276,0.2435,-0.0216,0.9858
87315,0.2434,-0.0219,0.9860
87337,0.2434,-0.0220,0.9860
87360,0.2434,-0.0220,0.9860
87382,0.2433,-0.0217,0.9860
87405,0.2432,-0.0216,0.9860
87422,0.2432,-0.0214,0.9860
87444,0.2430,-0.0210,0.9860
87461,0.2429,-0.0208,0.9860
87502,0.2426,-0.0199,0.9858
87525,0.2424,-0.0197,0.9858
87542,0.2423,-0.0194,0.9858
87564,0.2422,-0.0190,0.9857
87587,0.2421,-0.0189,0.9857
87604,0.2419,-0.0188,0.9857
87626,0.2419,-0.0187,0.9857
87648,0.2418,-0.0186,0.9858
87666,0.2418,-0.0186,0.9858
87702,0.2418,-0.0187,0.9858
87725,0.2418,-0.0188,0.9858
87742,0.2419,-0.0189,0.9860
87764,0.2421,-0.0195,0.9860
87787,0.2422,-0.0199,0.9860
87804,0.2423,-0.0203,0.9860
87826,0.2427,-0.0214,0.9860
87849,0.2428,-0.0219,0.9858
87873,0.2430,-0.0225,0.9858
87890,0.2432,-0.0232,0.9858
87912,0.2435,-0.0244,0.9857
87953,0.2438,-0.0258,0.9857
87974,0.2440,-0.0270,0.9856
87991,0.2441,-0.0275,0.9856
88014,0.2441,-0.0280,0.9856
88036,0.2441,-0.0284,0.9856
88053,0.2441,-0.0288,0.9856
88075,0.2441,-0.0295,0.9856
88093,0.2441,-0.0299,0.9856
88172,0.2438,-0.0311,0.9858
88189,0.2438,-0.0312,0.9858
88214,0.2437,-0.0315,0.9858
88233,0.2437,-0.0316,0.9858
88256,0.2435,-0.0319,0.9860
88276,0.2435,-0.0320,0.9858
88294,0.2435,-0.0321,0.9858
88327,0.2435,-0.0322,0.9858
88350,0.2435,-0.0322,0.9857
88367,0.2435,-0.0323,0.9856
88389,0.2437,-0.0325,0.9855
88412,0.2437,-0.0325,0.9854
88429,0.2438,-0.0326,0.9854
88451,0.2439,-0.0327,0.9851
88473,0.2439,-0.0328,0.9850
88516,0.2441,-0.0330,0.9849
88539,0.2441,-0.0330,0.9849
88556,0.2441,-0.0331,0.9847
88575,0.2443,-0.0331,0.9847
88598,0.2443,-0.0332,0.9847
88622,0.2443,-0.0332,0.9847
88645,0.2443,-0.0333,0.9849
88667,0.2443,-0.0333,0.9850
88692,0.2441,-0.0333,0.9850
88714,0.2441,-0.0332,0.9851
88736,0.2441,-0.0331,0.9852
88770,0.2440,-0.0330,0.9854
