Session Information:

BoatCode:,010
Start Time:,2026-03-04 21:41:57.111


Per-Stroke Data:

BoatCode,StrokeLength(m),TotalDistance(m),ElapsedTime,Pace(/500m),Speed(m/s),StrokeRate(spm),StrokeCount,Lat,Lon,Timestamp,ET_Diff(s),TS_Diff(s),60/StrokeRate(s)
010,0.00,0.00,0.001,--,0.00,0.0,1,0.0000000,0.0000000,2026-03-04 21:42:05.382,-,-,-
010,0.00,0.00,1.822,--,0.00,32.9,2,0.0000000,0.0000000,2026-03-04 21:42:07.203,1.821,1.821,1.824
010,0.00,0.00,2.652,--,0.00,72.3,3,0.0000000,0.0000000,2026-03-04 21:42:08.033,0.830,0.830,0.830
010,0.00,0.00,5.136,--,0.00,24.2,4,0.0000000,0.0000000,2026-03-04 21:42:10.517,2.484,2.484,2.479
010,0.00,0.00,7.315,--,0.00,27.5,5,0.0000000,0.0000000,2026-03-04 21:42:12.696,2.179,2.179,2.182
010,0.00,0.00,9.004,--,0.00,35.5,6,0.0000000,0.0000000,2026-03-04 21:42:14.385,1.689,1.689,1.690
010,0.00,0.00,10.849,--,0.00,32.5,7,0.0000000,0.0000000,2026-03-04 21:42:16.230,1.845,1.845,1.846
010,0.00,0.00,12.301,--,0.00,41.3,8,0.0000000,0.0000000,2026-03-04 21:42:17.682,1.452,1.452,1.453
010,0.00,0.00,14.254,--,0.00,30.7,9,0.0000000,0.0000000,2026-03-04 21:42:19.635,1.953,1.953,1.954
010,0.00,0.00,14.674,--,0.00,142.9,10,0.0000000,0.0000000,2026-03-04 21:42:20.055,0.420,0.420,0.420
010,0.00,0.00,17.373,--,0.00,22.2,11,0.0000000,0.0000000,2026-03-04 21:42:22.754,2.699,2.699,2.703
010,0.00,0.00,19.078,--,0.00,35.2,12,0.0000000,0.0000000,2026-03-04 21:42:24.459,1.705,1.705,1.705
010,0.00,0.00,20.592,--,0.00,39.6,13,0.0000000,0.0000000,2026-03-04 21:42:25.973,1.514,1.514,1.515
010,0.00,0.00,22.244,--,0.00,36.3,14,0.0000000,0.0000000,2026-03-04 21:42:27.625,1.652,1.652,1.653
010,0.00,0.00,24.065,--,0.00,32.9,15,0.0000000,0.0000000,2026-03-04 21:42:29.446,1.821,1.821,1.824
010,0.00,0.00,25.517,--,0.00,41.3,16,0.0000000,0.0000000,2026-03-04 21:42:30.898,1.452,1.452,1.453
010,0.00,0.00,27.172,--,0.00,36.3,17,0.0000000,0.0000000,2026-03-04 21:42:32.553,1.655,1.655,1.653
010,0.00,0.00,28.964,--,0.00,33.5,18,0.0000000,0.0000000,2026-03-04 21:42:34.345,1.792,1.792,1.791
010,0.00,0.00,30.931,--,0.00,30.5,19,0.0000000,0.0000000,2026-03-04 21:42:36.312,1.967,1.967,1.967
010,0.00,0.00,32.550,--,0.00,37.1,20,0.0000000,0.0000000,2026-03-04 21:42:37.931,1.619,1.619,1.617
010,0.00,0.00,33.631,--,0.00,55.5,21,0.0000000,0.0000000,2026-03-04 21:42:39.012,1.081,1.081,1.081
010,0.00,0.00,36.598,--,0.00,20.2,22,0.0000000,0.0000000,2026-03-04 21:42:41.979,2.967,2.967,2.970
010,0.00,0.00,38.048,--,0.00,41.4,23,0.0000000,0.0000000,2026-03-04 21:42:43.429,1.450,1.450,1.449
010,0.00,0.00,40.005,--,0.00,30.7,24,0.0000000,0.0000000,2026-03-04 21:42:45.386,1.957,1.957,1.954
010,0.00,0.00,41.993,--,0.00,30.2,25,0.0000000,0.0000000,2026-03-04 21:42:47.374,1.988,1.988,1.987
010,0.00,0.00,43.403,--,0.00,42.6,26,0.0000000,0.0000000,2026-03-04 21:42:48.784,1.410,1.410,1.408
010,0.00,0.00,45.033,--,0.00,36.8,27,0.0000000,0.0000000,2026-03-04 21:42:50.414,1.630,1.630,1.630
010,0.00,0.00,46.602,--,0.00,38.2,28,0.0000000,0.0000000,2026-03-04 21:42:51.983,1.569,1.569,1.571
010,0.00,0.00,49.283,--,0.00,22.4,29,0.0000000,0.0000000,2026-03-04 21:42:54.664,2.681,2.681,2.679
010,0.00,0.00,50.581,--,0.00,46.2,30,0.0000000,0.0000000,2026-03-04 21:42:55.962,1.298,1.298,1.299
010,0.00,0.00,51.644,--,0.00,56.4,31,0.0000000,0.0000000,2026-03-04 21:42:57.025,1.063,1.063,1.064
010,0.00,0.00,54.149,--,0.00,24.0,32,0.0000000,0.0000000,2026-03-04 21:42:59.530,2.505,2.505,2.500
010,0.00,0.00,54.767,--,0.00,97.1,33,0.0000000,0.0000000,2026-03-04 21:43:00.148,0.618,0.618,0.618
010,0.00,0.00,57.374,--,0.00,23.0,34,0.0000000,0.0000000,2026-03-04 21:43:02.755,2.607,2.607,2.609


Session Summary:

TotalDistance(m),TotalElapsedTime,AvgPace(/500m),AvgSpeed(m/s),AvgStrokeRate(spm),TotalStrokes,AvgStrokeLength(m),StartLat,StartLon,EndLat,EndLon
0.00,00:00:59.5,--,0.00,34.9,35,0.00,0.0000000,0.0000000,0.0000000,0.0000000
